epsilon,TT,L
0.1,2.9285714285714284,3.7777777777777777
0.2,3.217948717948718,4.571428571428571
0.3,3.927601809954751,4.5
0.4,4.228310502283105,3.9375
0.5,4.179926560587515,3.7917888563049855
0.6,4.107340720221607,3.3776119402985074
0.7,4.194444444444445,3.3526745240253852
0.7999999999999999,4.346039309112567,3.3263034563561806
0.8999999999999999,4.554459785229016,3.3938286642306132
0.9999999999999999,4.707159823549373,3.451710566151983
1.0999999999999999,4.892396376612682,3.568515884305358
1.2,5.160470807598182,3.7832070203430397
1.3,5.407066993464053,3.958800206860886
1.4,5.535484447622452,4.0853180584865845
1.5,5.654665921609324,4.1672664267626285
1.5999999999999999,5.777649102489867,4.239766081871345
1.7,5.855924419367537,4.249283363414375
1.8,5.943774858382548,4.263178035013872
1.9,6.07752545027408,4.312554489973845
2.0,6.25197680548234,4.387205929745408
