1.00000e+00 1.01050e+00 1.04502e+00
1.10181e+00 1.17986e+00 1.27879e+00
1.39878e+00 1.54052e+00 1.70514e+00
1.89419e+00 2.10964e+00 2.35387e+00
2.62961e+00 2.94003e+00 3.28863e+00
3.67930e+00 4.11626e+00 4.60401e+00
5.14724e+00 5.75070e+00 6.41900e+00
7.15629e+00 7.96589e+00 8.84964e+00
9.80722e+00 1.08351e+01 1.19256e+01
1.30650e+01 1.42329e+01 1.54005e+01
1.65301e+01 1.75752e+01 1.84823e+01
1.91947e+01 1.96572e+01 1.98233e+01
1.96620e+01 1.91624e+01 1.83372e+01
1.72208e+01 1.58646e+01 1.43306e+01
1.26837e+01 1.09852e+01 9.28831e+00
7.63593e+00 6.05984e+00 4.58158e+00
3.21389e+00 1.96247e+00 8.27692e-01
-1.93825e-01 -1.10801e+00 -1.92233e+00
-2.64507e+00 -3.28479e+00 -3.84997e+00
-4.34877e+00 -4.78887e+00 -5.17738e+00
-5.52082e+00 -5.82506e+00 -6.09543e+00
-6.33664e+00 -6.55286e+00 -6.74780e+00
-6.92465e+00 -7.08620e+00 -7.23487e+00
-7.37269e+00 -7.50140e+00 -7.62244e+00
-7.73698e+00 -7.84598e+00 -7.95016e+00
-8.05009e+00 -8.14614e+00 -8.23854e+00
-8.32740e+00 -8.41270e+00 -8.49435e+00
-8.57214e+00 -8.64583e+00 -8.71510e+00
-8.77961e+00 -8.83899e+00 -8.89285e+00
-8.94082e+00 -8.98255e+00 -9.01770e+00
-9.04598e+00 -9.06716e+00 -9.08106e+00
-9.08758e+00 -9.08667e+00 -9.07840e+00
-9.06289e+00 -9.04035e+00 -9.01108e+00
-8.97546e+00 -8.93393e+00 -8.88702e+00
-8.83530e+00 -8.77941e+00 -8.72002e+00
-8.65782e+00 -8.59356e+00 -8.52796e+00
-8.46177e+00 -8.39572e+00 -8.33052e+00
-8.26687e+00 -8.20541e+00 -8.14677e+00
-8.09152e+00 -8.04020e+00 -7.99328e+00
-7.95120e+00 -7.91432e+00 -7.88298e+00
-7.85742e+00 -7.83787e+00 -7.82448e+00
-7.81736e+00 -7.81656e+00 -7.82208e+00
-7.83387e+00 -7.85184e+00 -7.87584e+00
-7.90568e+00 -7.94111e+00 -7.98186e+00
-8.02759e+00 -8.07792e+00 -8.13244e+00
-8.19068e+00 -8.25214e+00 -8.31627e+00
-8.38250e+00 -8.45019e+00 -8.51872e+00
-8.58739e+00 -8.65551e+00 -8.72238e+00
-8.78726e+00 -8.84944e+00 -8.90820e+00
-8.96284e+00 -9.01270e+00 -9.05714e+00
-9.09558e+00 -9.12750e+00 -9.15245e+00
-9.17006e+00 -9.18002e+00 -9.18217e+00
-9.17640e+00 -9.16272e+00 -9.14125e+00
-9.11221e+00 -9.07591e+00 -9.03278e+00
-8.98332e+00 -8.92811e+00 -8.86782e+00
-8.80314e+00 -8.73485e+00 -8.66374e+00
-8.59063e+00 -8.51634e+00 -8.44170e+00
-8.36751e+00 -8.29458e+00 -8.22365e+00
-8.15543e+00 -8.09061e+00 -8.02980e+00
-7.97357e+00 -7.92242e+00 -7.87680e+00
-7.83711e+00 -7.80367e+00 -7.77674e+00
-7.75654e+00 -7.74322e+00 -7.73688e+00
-7.73754e+00 -7.74520e+00 -7.75979e+00
-7.78119e+00 -7.80922e+00 -7.84367e+00
-7.88427e+00 -7.93068e+00 -7.98256e+00
-8.03947e+00 -8.10095e+00 -8.16650e+00
-8.23555e+00 -8.30749e+00 -8.38169e+00
-8.45745e+00 -8.53406e+00 -8.61075e+00
-8.68676e+00 -8.76127e+00 -8.83347e+00
-8.90257e+00 -8.96774e+00 -9.02820e+00
-9.08319e+00 -9.13201e+00 -9.17400e+00
-9.20856e+00 -9.23519e+00 -9.25348e+00
-9.26311e+00 -9.26388e+00 -9.25570e+00
-9.23860e+00 -9.21273e+00 -9.17838e+00
-9.13592e+00 -9.08586e+00 -9.02879e+00
-8.96541e+00 -8.89647e+00 -8.82282e+00
-8.74532e+00 -8.66489e+00 -8.58247e+00
-8.49898e+00 -8.41537e+00 -8.33253e+00
-8.25134e+00 -8.17264e+00 -8.09722e+00
-8.02580e+00 -7.95905e+00 -7.89758e+00
-7.84192e+00 -7.79256e+00 -7.74988e+00
-7.71423e+00 -7.68588e+00 -7.66504e+00
-7.65185e+00 -7.64639e+00 -7.64868e+00
-7.65870e+00 -7.67635e+00 -7.70150e+00
-7.73394e+00 -7.77343e+00 -7.81966e+00
-7.87228e+00 -7.93088e+00 -7.99501e+00
-8.06415e+00 -8.13774e+00 -8.21516e+00
-8.29575e+00 -8.37880e+00 -8.46354e+00
-8.54918e+00 -8.63486e+00 -8.71971e+00
-8.80285e+00 -8.88335e+00 -8.96030e+00
-9.03279e+00 -9.09992e+00 -9.16084e+00
-9.21474e+00 -9.26087e+00 -9.29856e+00
-9.32725e+00 -9.34647e+00 -9.35586e+00
-9.35521e+00 -9.34443e+00 -9.32358e+00
-9.29285e+00 -9.25258e+00 -9.20324e+00
-9.14541e+00 -9.07981e+00 -9.00725e+00
-8.92863e+00 -8.84489e+00 -8.75706e+00
-8.66619e+00 -8.57333e+00 -8.47956e+00
-8.38591e+00 -8.29340e+00 -8.20300e+00
-8.11565e+00 -8.03218e+00 -7.95341e+00
-7.88004e+00 -7.81273e+00 -7.75204e+00
-7.69848e+00 -7.65244e+00 -7.61429e+00
-7.58428e+00 -7.56263e+00 -7.54946e+00
-7.54485e+00 -7.54881e+00 -7.56128e+00
-7.58215e+00 -7.61126e+00 -7.64840e+00
-7.69327e+00 -7.74555e+00 -7.80485e+00
-7.87073e+00 -7.94268e+00 -8.02016e+00
-8.10255e+00 -8.18917e+00 -8.27929e+00
-8.37214e+00 -8.46686e+00 -8.56257e+00
-8.65834e+00 -8.75318e+00 -8.84609e+00
-8.93604e+00 -9.02200e+00 -9.10292e+00
-9.17780e+00 -9.24566e+00 -9.30557e+00
-9.35669e+00 -9.39823e+00 -9.42956e+00
-9.45014e+00 -9.45957e+00 -9.45761e+00
-9.44418e+00 -9.41934e+00 -9.38335e+00
-9.33660e+00 -9.27966e+00 -9.21323e+00
-9.13814e+00 -9.05534e+00 -8.96587e+00
-8.87085e+00 -8.77144e+00 -8.66885e+00
-8.56429e+00 -8.45897e+00 -8.35406e+00
-8.25070e+00 -8.14997e+00 -8.05288e+00
-7.96039e+00 -7.87334e+00 -7.79251e+00
-7.71859e+00 -7.65218e+00 -7.59380e+00
-7.54387e+00 -7.50275e+00 -7.47070e+00
-7.44792e+00 -7.43454e+00 -7.43060e+00
-7.43611e+00 -7.45099e+00 -7.47512e+00
-7.50830e+00 -7.55029e+00 -7.60079e+00
-7.65943e+00 -7.72581e+00 -7.79945e+00
-7.87980e+00 -7.96627e+00 -8.05820e+00
-8.15485e+00 -8.25543e+00 -8.35908e+00
-8.46488e+00 -8.57185e+00 -8.67895e+00
-8.78508e+00 -8.88913e+00 -8.98993e+00
-9.08631e+00 -9.17708e+00 -9.26111e+00
-9.33725e+00 -9.40444e+00 -9.46171e+00
-9.50816e+00 -9.54304e+00 -9.56572e+00
-9.57576e+00 -9.57287e+00 -9.55695e+00
-9.52809e+00 -9.48659e+00 -9.43293e+00
-9.36775e+00 -9.29190e+00 -9.20634e+00
-9.11219e+00 -9.01065e+00 -8.90302e+00
