file,tau,m,mD,mL,mEN,mTT,mLAM,mDEratio,rank,group,nearest_indicator,nearest_dist
pks0346-27_lc_liner.csv,27,3,0.9747832430210892,36.827158073730985,3.074500433633838,57.91074713275879,0.944076331831434,32.57818996399783,1,High,Lorenz attractor (x),3.9888675885033167
oq334_lc_liner.csv,15,4,0.9832277747983624,31.372129115778662,3.3228065649510703,41.92003696895037,0.9943359845745964,31.20891582478908,2,High,Lorenz attractor (x),3.159388630565155
pks1454-354_lc_liner.csv,21,4,0.9111250549557393,8.297897681005104,2.3828270927171102,11.275199956720751,0.8940688940688941,28.337188855059875,3,High,Brownian motion,1.5751850812028452
pks1830-211_lc_liner.csv,20,6,0.7798567876362283,5.845985087188335,1.969803963509398,8.776695892576479,0.518590240123935,27.32618809478238,4,High,Brownian motion,3.080815951430289
pmn_j1913-3630_lc_liner.csv,24,4,0.9960047075372892,20.644296266126265,3.61393806243048,19.42719234546056,0.9719598583234949,27.116425916039525,5,High,Lorenz attractor (x),1.9249823185059025
pks0920-39_lc_liner.csv,16,5,0.9816661552304052,39.25020170554289,3.4343886013881813,25.06835664775387,0.9612051176227816,25.536646755564576,6,High,Lorenz attractor (x),2.350872200379013
pks_b1406-076_lc_liner.csv,26,5,0.8581629817595587,5.857772728883559,2.120326847717979,6.977585580667466,0.8445451886516525,24.850564319737924,7,High,Brownian motion,1.1932032326587838
pks0235+164_lc_liner.csv,11,4,0.904755963579342,11.064309884097188,2.4603757183666866,14.69595468216906,0.905955243203255,22.74132202435458,8,High,Brownian motion,0.6901964044781692
b3_0650+453_lc_liner.csv,6,4,0.9911400052330864,27.000069420790616,3.3932371105213184,37.35065282557333,0.9872909698996656,22.71913155333833,9,High,Lorenz attractor (x),2.0295247235847422
op313_lc_liner.csv,6,4,0.9260273856156792,8.718333298524218,2.578277102237009,10.938182457453712,0.9442440401505646,22.68667405383504,10,High,Brownian motion,0.4637989442592979
pmn_j1717-5155_lc_liner.csv,23,2,0.9998627711851144,144.08128009016332,5.6400019984444905,135.63356644866522,0.984055459272097,22.58596187175043,11,High,Sine wave,10.008110160928455
nvss_J090442_lc_liner.csv,55,3,0.9869968150015952,23.24884104136691,3.4573104762700866,22.28207186634142,0.9769799945190464,22.26866196011611,12,High,Lorenz attractor (x),1.3934674914523142
pks1510-324_lc_liner.csv,44,3,0.9967629291299764,82.17429690920594,4.00180294501849,38.639097952216034,0.9957191780821918,21.44432301806741,13,Mid,Lorenz attractor (x),4.8283304066533255
pks0528+134_lc_liner.csv,4,4,0.9510356494908768,16.640240064187854,2.820189022016319,17.41249964390271,0.9877529286474972,21.40530167706111,14,Mid,Lorenz attractor (x),0.6181869807183872
3c446_lc_liner.csv,8,5,0.9890694076423876,29.53053058915619,3.459162580712204,29.759140347518475,0.9930675909878682,20.905550035498845,15,Mid,Lorenz attractor (x),1.7924512412007083
pks1004-217_lc_liner.csv,20,5,0.9634673398064212,12.649178280930688,2.739557747287903,16.837279539290844,0.9540921919096896,20.801981558786125,16,Mid,Lorenz attractor (x),0.5043662761755512
pks2144+092_lc_liner.csv,7,4,0.9600887909207024,10.52888287101884,2.729883667493932,12.593530808316256,0.9715052204176334,20.498726858705545,17,Mid,Lorenz attractor (x),0.25972494818714253
s4_1849+67_lc_liner.csv,8,5,0.8816628088637921,6.683840646499043,2.112403330140729,8.422089938374118,0.8937104708362614,20.47003161900985,18,Mid,Brownian motion,0.6606712146283855
txs0646-176_lc_liner.csv,12,5,0.9802747863716076,27.22978905495441,2.6151696752826963,36.97210196307359,0.9974615499477378,20.46625366899556,19,Mid,Lorenz attractor (x),1.8272880264515745
mg2_j071354+1934_lc_liner.csv,10,3,0.969595550049342,25.72300310472334,3.039982328745819,25.353538658820767,0.987375415282392,20.408207167691305,20,Mid,Lorenz attractor (x),1.2754592552151045
pks0438-43_lc_liner.csv,5,4,0.9729954832604016,53.5211208914816,3.2936688375136627,62.7950461277916,0.999368553988634,20.185605166329736,21,Mid,Lorenz attractor (x),3.954352113522631
nrao676_lc_liner.csv,4,5,0.9553214714031082,13.501126389826895,2.512519274294457,20.343963349528163,0.9909934497816594,19.97095686170596,22,Mid,Lorenz attractor (x),0.733982702138981
pks1329-049_lc_liner.csv,4,4,0.9614438421637364,20.11198103768477,2.7599317964529795,30.257041436295204,0.9995359628770302,19.952371679499763,23,Mid,Lorenz attractor (x),1.2610714398574996
gb1310+487_lc_liner.csv,2,3,0.9817484799315488,72.4166916872341,3.77741057297972,102.88485532517431,0.9894595359366156,19.9251936640074,24,Mid,Lorenz attractor (x),6.497624721716428
pks0035-252_lc_liner.csv,8,4,0.9698269861526384,31.19703375690907,2.7953019932609107,38.30685062380927,0.996272630457934,19.878285991969115,25,Mid,Lorenz attractor (x),2.0000871719314235
pks2123-463_lc_liner.csv,5,4,0.9878790657501132,32.54304748923597,3.4004232393146943,34.98639009554078,0.9897492625368732,19.86145068133761,26,Mid,Lorenz attractor (x),2.053613563671385
pmn_j2141-6411_lc_liner.csv,8,5,0.939482700661588,11.655429836556516,2.675008036278669,15.87903112922111,0.9604264254563076,19.850032121022483,27,Mid,Lorenz attractor (x),0.4357698117225224
pks2142-75_lc_liner.csv,4,4,0.9218126329570062,16.728869997550696,2.648730578595183,22.74921347522901,0.9945768282662284,19.82674922303791,28,Mid,Lorenz attractor (x),0.830647387580684
1ES2322-409_lc_liner.csv,11,4,0.9391168527801226,10.186522941611688,2.6612187977674786,12.508098397248627,0.903056916061476,19.81596317111289,29,Mid,Lorenz attractor (x) + noise,0.4932605380476565
pks0235-618_lc_liner.csv,4,3,0.99056148844548,27.119000385595825,3.5722786831056603,37.99130100243907,0.9806853582554516,19.73178915836091,30,Mid,Lorenz attractor (x),2.089158113735133
pks0507+17_lc_liner.csv,3,3,0.9783398552397092,16.712991151284694,2.7201781829314866,26.385433877426426,0.9788434414668548,19.7090990608358,31,Mid,Lorenz attractor (x),0.9902720023605552
pmn_j0852-5755_lc_liner.csv,3,4,0.9631952142773204,19.44029332669277,2.757525821914505,28.12781982935621,0.9835280753002272,19.64685905099793,32,Mid,Lorenz attractor (x),1.1399970822805352
pks1824-582_lc_liner.csv,5,4,0.9566533580598314,15.161799298684254,2.43568248788104,24.767277057851945,0.9936203028603476,19.63596520890104,33,Mid,Lorenz attractor (x),1.0140215987693793
pmn_j0017-0512_lc_liner.csv,8,4,0.9703009773980296,14.266956359228706,2.594734546740516,16.526757296410217,0.9718809482609448,19.598823253971837,34,Mid,Lorenz attractor (x),0.5514071932063298
4c+31.03_lc_liner.csv,7,5,0.9281098437697672,12.807934638302427,2.342052636975004,13.78500044308348,0.9659849144183348,19.553194803922533,35,Mid,Brownian motion,0.5968461716219053
