epsilon,TT,L
0.1,6.352242744063324,5.801955990220049
0.2,7.987872662961092,6.574931880108992
0.3,8.800627123072903,6.682958477508651
0.4,8.875874125874127,6.2591093117408905
0.5,9.850964491952329,6.901451905626134
0.6,11.23468271334792,7.785012674271229
0.7,12.675098079702664,8.723104318148094
0.7999999999999999,13.986897842577086,9.732209202629322
0.8999999999999999,14.799595885378398,10.35466203580016
0.9999999999999999,15.131418552225098,10.304939575266925
1.0999999999999999,15.654025852670923,10.364078182778659
1.2,16.65270692149547,10.80156973234051
1.3,18.762504033559214,12.07355110642782
1.4,22.422102277925166,14.36992641822929
1.5,26.734430698259594,17.13599348534202
1.5999999999999999,31.666787177633164,20.213643410852715
1.7,36.297067171239355,22.920288610204434
1.8,39.90311266988163,24.906290115532734
1.9,43.11384519545242,26.610853611432987
2.0,45.73982676907991,27.767729083665337
