type,lambda
original,1.3404948433309902
FT_surrogate,1.1101990193566575
FT_surrogate,1.0337072165572905
FT_surrogate,1.1534841126521007
FT_surrogate,0.967818450236422
FT_surrogate,1.0393107733830236
FT_surrogate,1.0637881731801035
FT_surrogate,1.0919419007967466
FT_surrogate,1.0808515317643836
FT_surrogate,1.1150987330730693
FT_surrogate,0.993870345792947
FT_surrogate,0.764278154071092
FT_surrogate,1.007351804223634
FT_surrogate,1.1020313240088002
FT_surrogate,1.3092562461828476
FT_surrogate,1.0237732189059312
FT_surrogate,1.1406377065262723
FT_surrogate,1.1565649499189887
FT_surrogate,0.9623455710093081
FT_surrogate,1.2244864358325276
FT_surrogate,1.1986916321300671
FT_surrogate,1.025515433387799
FT_surrogate,0.8627501539549806
FT_surrogate,1.2323419421712662
FT_surrogate,1.2321498154877872
FT_surrogate,1.0671727033395688
FT_surrogate,1.105947360005089
FT_surrogate,1.3400686667815191
FT_surrogate,1.1249936444869073
FT_surrogate,1.2011957673649993
FT_surrogate,1.2381003473000243
FT_surrogate,0.9567724400872455
FT_surrogate,1.0230925791646452
FT_surrogate,0.8271286276338372
FT_surrogate,1.3501591940470472
FT_surrogate,0.9244777793109884
FT_surrogate,1.031941740664799
FT_surrogate,1.0827041942320323
FT_surrogate,1.2236246620766444
FT_surrogate,1.2774215679624659
Shuffle_surrogate,0.46445265359554117
Shuffle_surrogate,0.5217033098614018
Shuffle_surrogate,0.36214712664208176
Shuffle_surrogate,0.42969640822818794
Shuffle_surrogate,0.4708963134903288
Shuffle_surrogate,0.6399510203474197
Shuffle_surrogate,0.44137487183258695
Shuffle_surrogate,0.3240973121052701
Shuffle_surrogate,0.527986338923031
Shuffle_surrogate,0.4218705507645228
Shuffle_surrogate,0.5324786753414245
Shuffle_surrogate,0.42248098941012385
Shuffle_surrogate,0.5066964118716313
Shuffle_surrogate,0.3847729597606995
Shuffle_surrogate,0.444119616171092
Shuffle_surrogate,0.5247709581678328
Shuffle_surrogate,0.4516735287519498
Shuffle_surrogate,0.3241961158034068
Shuffle_surrogate,0.45799279558224204
Shuffle_surrogate,0.5442425202402418
Shuffle_surrogate,0.7087543322378608
Shuffle_surrogate,0.4285846782643842
Shuffle_surrogate,0.5939641859837593
Shuffle_surrogate,0.5260736910946158
Shuffle_surrogate,0.6132520384367997
Shuffle_surrogate,0.6490443238429889
Shuffle_surrogate,0.5127691592806785
Shuffle_surrogate,0.34297318663409593
Shuffle_surrogate,0.4840101591670589
Shuffle_surrogate,0.3996246190461388
Shuffle_surrogate,0.42744671568072823
Shuffle_surrogate,0.703040312463762
Shuffle_surrogate,0.35541956829407717
Shuffle_surrogate,0.6338079460772195
Shuffle_surrogate,0.4362829699133658
Shuffle_surrogate,0.4378183568051102
Shuffle_surrogate,0.5223760151476107
Shuffle_surrogate,0.29425062472187435
Shuffle_surrogate,0.40579424629489663
