indicator,mDEratio,mL,mEN,mTT,mLAM
Brownian motion,20.76539680253393,7.224636924041375,2.6532594795779474,9.053120594643088,0.9618023881166012
Logistic map,14.954088460508036,3.05876081518842,1.4228703879772937,3.484261870284277,0.2289696690439939
Logistic map + noise,9.646449854445503,2.674037446524807,1.0687456331756742,3.868816631130064,0.3634620007211249
Lorenz attractor (x),19.91062492116673,11.596020021975338,2.981081624249489,10.923429882420418,0.9942781368444134
Lorenz attractor (x) + noise,18.518654127179044,8.105296979711742,2.642931225540588,8.97148485594681,0.9513081623061256
Sine wave,19.97594778498741,66.0822102425876,3.87903885621972,4.802489097946984,0.9991538986921108
Sine wave + noise,10.429043783554665,2.669935833898482,1.117417744995668,3.174382298709281,0.6578992958248836
White noise,9.204843423040488,2.6071184898794635,1.008293509272658,3.427315469592141,0.4493660101237909
