Brownian motion,Logistic map,Logistic map + noise,Lorenz attractor (x),Lorenz attractor (x) + noise,Sine wave,Sine wave + noise,White noise
3.8861546959784885,6.042322830458487,5.666880137436147,3.873941461220179,4.199955535145443,4.032395897409131,5.9216323552502255,5.918622576617638
3.050462210311815,5.672554907864809,5.171802378622738,3.0043510681033343,3.417720528165775,3.1124375035196095,5.436506349747965,5.447615412865718
1.6330677040240082,3.732234510357131,3.2369571366277072,2.0342951002747456,1.9793167498524549,3.0560180908135175,3.522810408853542,3.5261982768619298
3.296987429994405,2.518095572975935,3.0493214224703595,3.657284827618103,3.361192537679237,4.479297436694576,3.3622652431841726,3.22323845492607
1.795813646895312,4.848400013021159,4.242183255068532,1.6802288797639515,2.204619955193028,1.8023203332655966,4.521265449708976,4.537121133557571
2.318917839775683,4.96117363925584,4.3761183982811405,2.0898734369537064,2.5719850108391005,1.741304684138835,4.627000832851094,4.642835663420198
1.4884109070539666,2.92784768562669,2.395261539727858,1.9577521408727134,1.6317457844605292,3.1525486663352855,2.682540861449265,2.6802397283942896
0.7945080799624218,3.21661847755698,2.4634777999641293,1.1972786472633346,0.9745053157732255,2.485915975131795,2.73265549978344,2.761136945377178
2.0272160148132956,4.774314327476167,4.074754250820798,1.7993254762393525,2.23358562861278,2.0284503770661533,4.306372951880228,4.337798182153025
0.5177397302198459,3.4098830475511797,2.5813158675640455,0.9923052278573072,0.8104406774542402,2.3580791827403447,2.838367186070012,2.8827563613730804
11.332581825002046,12.905607464481651,12.601370393375458,10.997731299370672,11.418620350285453,10.186078839414403,12.75175276454649,12.749663264257615
1.3843591232396173,4.424490051455735,3.6800129518062983,1.073214591000731,1.626613843951379,1.3321979895009155,3.925628098750908,3.958899544253225
4.902391837511196,6.897164391800248,6.380964487441441,4.532120836936758,4.974735720388942,3.5241102317063024,6.554794346571131,6.573196013799087
0.6244940201447368,3.799395858269883,2.908425326179686,0.628638849270626,0.8464418112123328,1.8653430968244316,3.1377273360960283,3.1955574155817437
1.8432015042347192,4.6419016100233135,3.881368581878802,1.4978767986207844,1.982783033401211,1.5189726952249571,4.101133166846915,4.140289502555205
0.4682691695704376,3.4983861836016548,2.610154000377413,0.6696545243725754,0.6125934668407655,2.0679925024371286,2.849492513268204,2.9013008354074534
0.25071253428621826,3.4990803425266295,2.5529433861070108,0.5806220526455252,0.4045448200148536,2.075264387011738,2.783047949972812,2.846194294920377
1.1235116041260909,2.71252276897812,1.8014653330511166,1.5512583454515478,0.9994903299534535,2.909749519602167,2.0485536327504477,2.0978324969181448
1.8867945581599153,4.2095170017976296,3.3899475572426456,1.7955216192449321,1.9330212225224148,2.493127310251367,3.5727260584849243,3.6290647900099686
1.3468244201499722,4.1404542343381125,3.3051210152750037,1.086232997369387,1.4386192526421964,1.657828104694166,3.5183488555272255,3.568649124405616
4.019487139087195,5.972503782252287,5.378274746765137,3.7589802533131347,4.077758496690838,3.5670515759838652,5.540758821455947,5.570263289507184
0.8034157374043013,3.553659682526232,2.5670569364600153,0.958387743842243,0.7928479519020083,2.3212865018609823,2.7681391851589554,2.844252657960057
1.333019396935658,3.9915281987428366,3.096091370627579,1.2363955674051736,1.3807808225756455,2.192798190648588,3.292022110846262,3.355061619102289
6.552345310911166,8.170384112883404,7.72974096690476,6.2948612306653615,6.612832744720933,5.991665821201944,7.872757840678282,7.887090970408832
2.076018905407368,4.387405240658127,3.589522038226885,1.900315111713771,2.1088939202496353,2.371798886656407,3.769471988339806,3.8217447844239425
2.125990246689968,4.702588073688005,3.947704762837237,1.7933801716704063,2.205395324289151,1.8010317398061386,4.150960829119205,4.1909507620772315
0.4865876034766828,3.4118531727721257,2.4589299075276814,0.6901422889644891,0.45136343369283727,2.1396030856300365,2.6843417752826677,2.7469663319464703
0.9202586052895628,3.7123661760500584,2.754997082404622,0.9218911844763864,0.9313621943485446,2.1453317712501865,2.955436787731253,3.0264978962110987
0.5755337429814061,3.0747890631252806,2.2002313714000428,0.8608779950839521,0.44542590811408755,2.2279760668359954,2.45679815438015,2.4958186903484716
2.1442391673109644,4.751915620223515,4.0136253362773155,1.8192544079430149,2.239624011527658,1.9237260929991211,4.224529654897629,4.259743004313598
1.0584185603382108,3.735595313906804,2.8229831063017023,1.0283178088074887,1.073533509194557,2.181262583519704,3.0287646694351977,3.0903831077478454
1.2169722516837262,3.8484226730680824,2.9514817843908827,1.1260593138546584,1.2346294409171439,2.137007561682449,3.1523137059723676,3.212788071596957
1.0894111642607767,3.6022358373743546,2.622254454891519,1.1943325978989854,1.0513392113600841,2.4612615736061425,2.8092743377114524,2.886957334351836
0.6490602537146786,3.4409062612867336,2.461216711872973,0.7776829290439736,0.5659958876461096,2.1454691139847655,2.6725846455055375,2.7427658103962615
