time,data
0,9.80538e-08
1,2.5648600000000002e-08
2,7.03198e-08
3,7.912659999999999e-09
4,6.57681e-08
5,2.61117e-08
6,1.1603e-08
7,1.2763774661710447e-08
8,1.65734e-08
9,7.255089999999998e-08
10,7.385300406080326e-08
11,7.42287e-08
12,7.638899999999998e-09
13,5.5890099999999995e-09
14,1.3585132017428268e-08
15,2.9435800000000002e-08
16,5.04936e-08
17,4.92812e-08
18,1.27267e-08
19,2.26527e-08
20,9.80122e-08
21,5.96067e-08
22,5.41387e-08
23,1.36356e-08
24,3.72455e-08
25,2.4040300000000002e-08
26,2.96144e-08
27,2.60027e-08
28,5.56268e-08
29,1.2810300000000002e-07
30,5.68096e-08
31,1.55569e-08
32,6.40851e-08
33,9.0247e-08
34,8.13095e-08
35,4.18028e-08
36,1.0130600000000001e-07
37,1.0844200000000001e-07
38,3.10772e-08
39,6.57019e-08
40,6.82134e-08
41,9.59575e-08
42,7.533089999999998e-08
43,4.3110800000000004e-08
44,1.80526e-08
45,2.476869969141967e-08
46,3.9583110493950446e-08
47,5.4495e-08
48,6.689530000000001e-08
49,1.2976200000000002e-07
50,5.06992e-08
51,4.5501335320052646e-08
52,4.17881e-08
53,2.8990252275490287e-08
54,1.91267e-08
55,1.88275e-08
56,4.33367e-08
57,2.56935e-08
58,1.83727e-08
59,4.95593e-09
60,1.76874e-08
61,2.66542e-08
62,3.83036e-08
63,4.4499e-08
64,5.890339999999999e-09
65,1.53522e-08
66,1.41432e-08
67,5.28597e-08
68,9.20131e-08
69,4.47699e-08
70,3.91776e-08
71,2.46055e-08
72,6.23835e-08
73,5.27591e-09
74,1.1296554999999999e-08
75,1.73172e-08
76,1.4030435555555556e-08
77,7.926444444444446e-09
78,4.6396799999999994e-09
79,1.3109244444444446e-08
80,2.8838435555555552e-08
81,3.7308e-08
82,3.4639699999999995e-08
83,3.19714e-08
84,4.049005e-08
85,4.90087e-08
86,3.88007e-08
87,2.85927e-08
88,3.0284074320736965e-08
89,3.4821e-08
90,5.16585e-08
91,4.3029e-08
92,2.6576600000000002e-08
93,2.99451e-08
94,3.67262e-08
95,2.72502e-08
96,1.57581e-08
97,2.04889e-08
98,1.30082e-08
99,3.19191e-08
100,6.58331e-08
101,3.91941e-08
102,5.925464999999999e-08
103,7.93152e-08
104,4.80856e-08
105,1.6856e-08
106,2.9658464517349694e-08
107,4.74873e-08
108,5.53724e-08
109,5.8916724186260476e-08
110,6.04302e-08
111,2.8953500000000002e-08
112,2.7631481256156407e-08
113,2.64312e-08
114,1.61989e-08
115,9.323221249048809e-09
116,5.98547e-09
117,9.732839999999999e-09
118,4.67679e-08
119,2.37319e-08
120,3.81356e-08
121,2.75878e-08
122,3.03681e-08
123,5.932059999999999e-09
124,1.48025e-08
125,2.15819e-08
126,4.16463e-08
127,3.2425e-08
128,2.5636300000000002e-08
129,2.7576e-08
130,1.45897e-08
131,1.787820536765567e-08
132,2.73517e-08
133,7.70007e-08
134,8.893679999999999e-09
135,1.0351300000000001e-08
136,8.939909999999999e-09
137,4.23646e-08
138,3.44542e-08
139,3.40852e-08
140,6.73259e-08
141,4.34596e-08
142,3.59138e-08
143,3.5401300000000003e-08
144,4.04921e-08
145,2.84683e-08
146,8.490239999999998e-08
147,1.56489e-08
148,4.0169300000000004e-08
149,2.28274e-08
150,2.16025e-08
151,3.56293e-08
152,1.0559400000000001e-07
153,1.01127e-07
154,2.55074e-08
155,5.789895e-08
156,9.02905e-08
157,6.604665135711449e-08
158,2.80242e-08
159,2.7860699999999997e-09
160,7.85330766059654e-09
161,2.12133e-08
162,6.72953e-08
163,6.48681e-08
164,2.47455e-08
165,1.65272e-08
166,2.60896e-08
167,3.74504e-08
168,2.29872e-08
169,6.65366e-08
170,5.46998e-08
171,2.85706e-08
172,7.79976e-08
173,1.3713900000000002e-07
174,7.7304e-08
175,3.92322e-08
176,5.89965e-08
177,6.25373e-08
178,1.7427700000000002e-07
179,6.75433e-08
180,5.22167e-08
181,6.15364e-08
182,9.56807e-08
183,6.58684e-08
184,1.26801e-08
185,4.53516e-08
186,7.561969999999998e-08
187,8.179689999999998e-08
188,1.55849e-07
189,5.12149e-08
190,8.095079999999998e-08
191,1.28806e-08
192,3.75654e-08
193,9.11947e-08
194,7.11584e-08
195,6.594424065310397e-08
196,6.228786669164798e-08
197,6.0134334384368e-08
198,5.94287e-08
199,6.95002e-08
200,1.0886500000000002e-07
201,1.0004000000000001e-07
202,9.51859e-08
203,2.94315e-08
204,5.6301400000000004e-08
205,4.36153e-08
206,2.88357e-08
207,5.57782e-08
208,2.26618e-08
209,6.08014e-08
210,1.3111400000000002e-07
211,5.01337e-08
212,6.440440000000001e-08
213,4.13843e-08
