epsilon,TT,L
0.1,23.041504539559014,72.2520325203252
0.2,37.273927392739274,70.3375
0.3,45.14537037037037,56.032332563510394
0.4,54.769633507853406,56.2695810564663
0.5,47.54443053817272,36.73465346534653
0.6,38.940285954583686,26.12847222222222
0.7,39.091897579796566,25.02483900643974
0.7999999999999999,37.61357546888955,23.029906542056075
0.8999999999999999,37.664589542129505,22.585528509503167
0.9999999999999999,35.976145488899384,21.188085106382978
1.0999999999999999,36.34476654127019,21.312466983623878
1.2,38.31139295867046,22.61297950604309
1.3,40.15668598411676,23.707914410930652
1.4,38.727433628318586,22.592877094972067
1.5,37.96661039204652,21.98678996036988
1.5999999999999999,36.29791371994342,20.828166700882775
1.7,35.01246840775063,20.076953125
1.8,35.568270042194094,20.517499016909163
1.9,35.818808882907135,20.646632732967895
2.0,34.87130153597413,20.075464614229396
