epsilon,TT,L
0.1,2.0,0.0
0.2,2.2,3.0
0.3,2.309090909090909,4.0
0.4,2.6233766233766236,4.0285714285714285
0.5,2.973529411764706,3.1481481481481484
0.6,3.0891891891891894,2.952191235059761
0.7,3.3325925925925928,2.892857142857143
0.7999999999999999,3.530263157894737,2.946985446985447
0.8999999999999999,3.6627051499717034,3.0158328055731474
0.9999999999999999,3.9030340303403035,3.144640551011623
1.0999999999999999,4.224055092889174,3.3518518518518516
1.2,4.495977160654036,3.550137534383596
1.3,4.783209118807541,3.7506658471624665
1.4,5.007415055378262,3.876587100050787
1.5,5.263018899067426,4.044961688593321
1.5999999999999999,5.5208932124696,4.231746031746032
1.7,5.866167240332051,4.430522632351281
1.8,6.263992419456728,4.656019656019656
1.9,6.678395875794269,4.914029736942433
2.0,7.1230371009490945,5.209505772005772
