,mD,mL,mEN,mTT,mDEratio
count,84.0,84.0,84.0,84.0,84.0
mean,0.9214261168900674,15.687402417649464,2.633656510901066,19.525883849658626,18.03307623023131
std,0.05830982394272092,13.985334019958751,0.5454458639419151,15.353327764441818,1.8576872374205688
min,0.6743462713000181,3.346455296931256,1.4782199902371045,3.3195610870060386,14.45528523199446
25%,0.892692944389367,8.63495383955918,2.2860726678808985,10.779306260291445,16.636571308385882
50%,0.93350741746109,11.670945403449114,2.595940129575898,14.643567340634227,18.305650085394863
75%,0.9613668619207558,16.658427835962065,2.7956434388570295,20.65393590652602,19.60810874270414
max,0.9995656372869582,82.17429690920594,4.729875066803107,102.88485532517431,21.44432301806741
