epsilon,Determinism,LineLength,Entropy
0.1,0.982953099821898,17.10448642266824,2.9101232013448604
0.2,0.9892352967208037,20.360924513264262,3.04866370103632
0.3,0.9895394624779985,19.96758323224154,3.0233348122575276
0.4,0.991110451002783,19.407647563650233,3.056975980123803
0.5,0.9929859993437192,20.571561526322178,3.212095586900424
0.6,0.9945791133986386,22.33704974271012,3.3700879535242447
0.7,0.9961974231052374,24.40850131148719,3.519732719247766
0.7999999999999999,0.9972062254432661,26.46692511013216,3.6561425541398647
0.8999999999999999,0.9979504314848923,29.0533357053905,3.8019792612645213
0.9999999999999999,0.9982964283109685,31.651179594638535,3.941336604740148
1.0999999999999999,0.9985820372043359,34.17621323529412,4.038164891722591
1.2,0.9990031235462218,36.68819465304897,4.121921071136375
1.3,0.9992610567085074,38.651326762699014,4.169488436406534
1.4,0.9994241159471735,40.50160685591859,4.201379262463883
1.5,0.9995292649417329,42.417421602787456,4.208578468096046
1.5999999999999999,0.9995502842309684,44.236998514115896,4.231416223058906
1.7,0.9995576591699735,45.95126651982379,4.265645734363345
1.8,0.9995888134081578,48.539632799003655,4.315531564949279
1.9,0.9994904884512049,53.130660317190355,4.36543192684352
2.0,0.9993154688534452,57.41363798325316,4.343704424911332
