54693.2,1.59234e-08,9.80726e-09
54721.2,5.73951e-08,2.62217e-08
54728.2,8.29723e-08,3.49345e-08
54735.2,8.69316e-08,2.97012e-08
54742.2,1.66985e-07,5.06488e-08
54749.2,4.02899e-07,4.84406e-08
54756.2,1.55611e-07,4.19008e-08
54763.2,4.02373e-08,2.21129e-08
54770.2,5.60783e-08,3.39642e-08
54784.2,2.07022e-08,1.6415e-08
54791.2,2.21133e-08,1.43342e-08
54798.2,2.61622e-08,1.51597e-08
54805.2,5.03245e-08,3.85296e-08
54812.2,2.13729e-08,1.71086e-08
54819.2,4.53613e-08,3.0352e-08
54826.2,7.15288e-08,3.25133e-08
54833.2,6.861e-08,3.76061e-08
54840.2,7.96613e-08,4.05643e-08
54847.2,3.82875e-08,2.5325e-08
54854.2,2.0273e-08,1.01022e-08
54861.2,2.33718e-08,1.13979e-08
54889.2,1.0681e-08,1.02387e-08
54903.2,3.421e-08,2.70054e-08
54924.2,4.52676e-08,3.36003e-08
54931.2,4.90778e-08,3.78211e-08
54973.2,2.54281e-08,1.34459e-08
54980.2,7.90105e-08,2.92739e-08
54987.2,4.73233e-09,2.25192e-09
55001.2,1.65382e-08,1.5613e-08
55008.2,2.54162e-08,1.59876e-08
55015.2,9.44696e-09,5.48134e-09
55029.2,1.11862e-08,4.02326e-09
55036.2,1.99034e-08,1.06356e-08
55050.2,7.53674e-08,4.0212e-08
55057.2,3.58534e-08,2.86631e-08
55064.2,4.84176e-08,2.38863e-08
55071.2,3.34425e-08,1.63725e-08
55085.2,1.17048e-08,5.57597e-09
55092.2,9.59577e-08,5.65709e-08
55099.2,3.18727e-08,1.8783e-08
55106.2,6.12664e-08,4.2569e-08
55113.2,1.03667e-07,3.74636e-08
55120.2,6.96226e-08,3.93468e-08
55127.2,3.44913e-08,1.65336e-08
55148.2,1.5859e-07,5.45363e-08
55162.2,1.4567e-08,1.37228e-08
55183.2,3.00993e-08,1.38859e-08
55190.2,5.42817e-08,3.71125e-08
55197.2,3.13286e-08,1.70379e-08
55218.2,2.78606e-08,1.5617e-08
55225.2,4.4579e-08,2.23042e-08
55239.2,2.96798e-08,1.42779e-08
55246.2,8.95141e-09,7.23288e-09
55274.2,3.20339e-08,1.58345e-08
55281.2,9.83586e-08,3.76094e-08
55288.2,8.69576e-08,4.02535e-08
55295.2,1.2527e-07,5.78269e-08
55302.2,3.92285e-08,2.79454e-08
55309.2,6.85028e-08,3.90166e-08
55323.2,2.97858e-08,2.51694e-08
55344.2,3.51898e-08,2.82876e-08
55351.2,1.05537e-07,4.1594e-08
55372.2,8.37976e-09,5.68684e-09
55379.2,2.28215e-08,1.39992e-08
55393.2,2.07023e-08,1.3126e-08
55400.2,9.09008e-08,3.93861e-08
55407.2,2.61737e-08,1.67561e-08
55414.2,1.27123e-07,4.97341e-08
55428.2,8.42034e-08,3.98062e-08
55435.2,8.8052e-08,2.27183e-08
55442.2,2.52114e-08,1.45488e-08
55449.2,1.14779e-07,4.61443e-08
55456.2,5.70136e-08,3.93688e-08
55463.2,2.10724e-07,7.00376e-08
55470.2,1.07004e-07,4.92035e-08
55477.2,3.73197e-08,1.88442e-08
55491.2,1.61684e-08,1.33739e-08
55498.2,1.42711e-07,3.96138e-08
55505.2,1.16871e-07,3.67039e-08
55512.2,8.4019e-08,3.34646e-08
55519.2,1.85651e-08,1.28673e-08
55533.2,5.54081e-08,3.0289e-08
55540.2,8.25479e-08,3.72759e-08
55547.2,8.02456e-08,3.72304e-08
