epsilon,TT,L
0.1,5.3881578947368425,6.112676056338028
0.2,4.607242339832869,5.560975609756097
0.3,4.883527454242929,5.252631578947368
0.4,4.874629812438302,5.0144927536231885
0.5,6.110663983903421,5.690537084398977
0.6,7.4015,6.860266159695818
0.7,8.359126984126984,7.659638554216867
0.7999999999999999,8.8178125,7.693401592718999
0.8999999999999999,9.076659319128092,7.478589420654912
0.9999999999999999,9.947313182199832,7.943710910354413
1.0999999999999999,11.411287205257054,9.052364328784513
1.2,12.964799115370438,10.324422843256379
1.3,14.074048322614289,11.035794813979708
1.4,14.370177924736263,10.852479135984291
1.5,15.247185952273751,11.22891016871865
1.5999999999999999,16.011669788214956,11.619345109866437
1.7,16.174377705627705,11.5280921183244
1.8,16.260569676842508,11.29728250957505
1.9,16.30873130728413,11.138141188420517
2.0,16.47416868024393,11.022914032869785
