file,group,rank,mDEratio,mL,mEN,mTT,mLAM
pks0346-27_lc_liner.csv,High,1,32.57818996399783,36.827158073730985,3.074500433633838,57.91074713275879,0.944076331831434
oq334_lc_liner.csv,High,2,31.20891582478908,31.372129115778662,3.3228065649510703,41.92003696895037,0.9943359845745964
pks1454-354_lc_liner.csv,High,3,28.337188855059875,8.297897681005104,2.3828270927171102,11.275199956720751,0.8940688940688941
pks1830-211_lc_liner.csv,High,4,27.32618809478238,5.845985087188335,1.969803963509398,8.776695892576479,0.518590240123935
pmn_j1913-3630_lc_liner.csv,High,5,27.116425916039525,20.644296266126265,3.61393806243048,19.42719234546056,0.9719598583234949
pks0920-39_lc_liner.csv,High,6,25.536646755564576,39.25020170554289,3.4343886013881813,25.06835664775387,0.9612051176227816
pks_b1406-076_lc_liner.csv,High,7,24.850564319737924,5.857772728883559,2.120326847717979,6.977585580667466,0.8445451886516525
pks0235+164_lc_liner.csv,High,8,22.74132202435458,11.064309884097188,2.4603757183666866,14.69595468216906,0.905955243203255
b3_0650+453_lc_liner.csv,High,9,22.71913155333833,27.000069420790616,3.3932371105213184,37.35065282557333,0.9872909698996656
op313_lc_liner.csv,High,10,22.68667405383504,8.718333298524218,2.578277102237009,10.938182457453712,0.9442440401505646
pmn_j1717-5155_lc_liner.csv,High,11,22.58596187175043,144.08128009016332,5.6400019984444905,135.63356644866522,0.984055459272097
nvss_J090442_lc_liner.csv,High,12,22.26866196011611,23.24884104136691,3.4573104762700866,22.28207186634142,0.9769799945190464
pks1510-324_lc_liner.csv,Mid,13,21.44432301806741,82.17429690920594,4.00180294501849,38.639097952216034,0.9957191780821918
pks0528+134_lc_liner.csv,Mid,14,21.40530167706111,16.640240064187854,2.820189022016319,17.41249964390271,0.9877529286474972
3c446_lc_liner.csv,Mid,15,20.905550035498845,29.53053058915619,3.459162580712204,29.759140347518475,0.9930675909878682
pks1004-217_lc_liner.csv,Mid,16,20.801981558786125,12.649178280930688,2.739557747287903,16.837279539290844,0.9540921919096896
pks2144+092_lc_liner.csv,Mid,17,20.498726858705545,10.52888287101884,2.729883667493932,12.593530808316256,0.9715052204176334
s4_1849+67_lc_liner.csv,Mid,18,20.47003161900985,6.683840646499043,2.112403330140729,8.422089938374118,0.8937104708362614
txs0646-176_lc_liner.csv,Mid,19,20.46625366899556,27.22978905495441,2.6151696752826963,36.97210196307359,0.9974615499477378
mg2_j071354+1934_lc_liner.csv,Mid,20,20.408207167691305,25.72300310472334,3.039982328745819,25.353538658820767,0.987375415282392
pks0438-43_lc_liner.csv,Mid,21,20.185605166329736,53.5211208914816,3.2936688375136627,62.7950461277916,0.999368553988634
nrao676_lc_liner.csv,Mid,22,19.97095686170596,13.501126389826895,2.512519274294457,20.343963349528163,0.9909934497816594
pks1329-049_lc_liner.csv,Mid,23,19.952371679499763,20.11198103768477,2.7599317964529795,30.257041436295204,0.9995359628770302
gb1310+487_lc_liner.csv,Mid,24,19.9251936640074,72.4166916872341,3.77741057297972,102.88485532517431,0.9894595359366156
pks0035-252_lc_liner.csv,Mid,25,19.878285991969115,31.19703375690907,2.7953019932609107,38.30685062380927,0.996272630457934
pks2123-463_lc_liner.csv,Mid,26,19.86145068133761,32.54304748923597,3.4004232393146943,34.98639009554078,0.9897492625368732
pmn_j2141-6411_lc_liner.csv,Mid,27,19.850032121022483,11.655429836556516,2.675008036278669,15.87903112922111,0.9604264254563076
pks2142-75_lc_liner.csv,Mid,28,19.82674922303791,16.728869997550696,2.648730578595183,22.74921347522901,0.9945768282662284
1ES2322-409_lc_liner.csv,Mid,29,19.81596317111289,10.186522941611688,2.6612187977674786,12.508098397248627,0.903056916061476
pks0235-618_lc_liner.csv,Mid,30,19.73178915836091,27.119000385595825,3.5722786831056603,37.99130100243907,0.9806853582554516
