type,lambda
original,0.5448261986426106
FT_surrogate,0.5236058623645043
FT_surrogate,0.47512412238104923
FT_surrogate,0.5032836417507854
FT_surrogate,0.5690833287183465
FT_surrogate,0.5969635600988971
FT_surrogate,0.5628519744139125
FT_surrogate,0.5344415891047739
FT_surrogate,0.5959024952867662
FT_surrogate,0.555783300193975
FT_surrogate,0.5141324113096484
FT_surrogate,0.6237447781189194
FT_surrogate,0.5896738107597919
FT_surrogate,0.5572283900059579
FT_surrogate,0.5495155156545241
FT_surrogate,0.5417873575537554
FT_surrogate,0.6012839242667725
FT_surrogate,0.5350495331522018
FT_surrogate,0.5055203380286237
FT_surrogate,0.5325607495151652
FT_surrogate,0.4759407499865017
FT_surrogate,0.5406258484909228
FT_surrogate,0.5073429979327213
FT_surrogate,0.593717660654937
FT_surrogate,0.5144877894362109
FT_surrogate,0.48739112300413723
FT_surrogate,0.49617529184345777
FT_surrogate,0.5107643626904296
FT_surrogate,0.5277151367072296
FT_surrogate,0.5469872894685464
FT_surrogate,0.6202297962620019
FT_surrogate,0.6111984912915579
FT_surrogate,0.5359779698446547
FT_surrogate,0.5816665327009174
FT_surrogate,0.5601084448245249
FT_surrogate,0.48126168481422565
FT_surrogate,0.5220798364451152
FT_surrogate,0.5327900646873025
FT_surrogate,0.5081160073085637
FT_surrogate,0.54572813291437
Shuffle_surrogate,0.5858869543239456
Shuffle_surrogate,0.5337525203916328
Shuffle_surrogate,0.4647589921110546
Shuffle_surrogate,0.5269144930071563
Shuffle_surrogate,0.5363988386620436
Shuffle_surrogate,0.4906276489145513
Shuffle_surrogate,0.5056635168422406
Shuffle_surrogate,0.6038451788745489
Shuffle_surrogate,0.5896007962360675
Shuffle_surrogate,0.48713760115598065
Shuffle_surrogate,0.5062967025323035
Shuffle_surrogate,0.5877769671127335
Shuffle_surrogate,0.5431040913313397
Shuffle_surrogate,0.513003810335218
Shuffle_surrogate,0.4869361682213402
Shuffle_surrogate,0.4686777959383051
Shuffle_surrogate,0.47570082149000015
Shuffle_surrogate,0.511702343030928
Shuffle_surrogate,0.46011213270100126
Shuffle_surrogate,0.5434225878328242
Shuffle_surrogate,0.5588822639977237
Shuffle_surrogate,0.567195752051373
Shuffle_surrogate,0.5062704771791521
Shuffle_surrogate,0.5042075148356342
Shuffle_surrogate,0.49624344835984324
Shuffle_surrogate,0.4868161581205972
Shuffle_surrogate,0.5178758282262332
Shuffle_surrogate,0.4756300644777393
Shuffle_surrogate,0.5385750043856973
Shuffle_surrogate,0.682405419336804
Shuffle_surrogate,0.5457401101339735
Shuffle_surrogate,0.5885017497884506
Shuffle_surrogate,0.6527831163254566
Shuffle_surrogate,0.5268637248636253
Shuffle_surrogate,0.6603084751361679
Shuffle_surrogate,0.5647287011639326
Shuffle_surrogate,0.5266101017660401
Shuffle_surrogate,0.5725891666037862
Shuffle_surrogate,0.5686236172582504
