indicator,mDEratio,mL,mEN,mTT,mLAM
Brownian motion,21.18176609541939,9.721448087431694,2.991585491510817,11.845712411870798,0.9793149255147549
Logistic map,10.86042732209923,4.374746409153615,1.9812078560977384,5.245526097763049,0.6367069258540412
Logistic map + noise,15.592259495508705,3.8456442203104912,1.7942650571522083,4.870024911650542,0.8420043071067261
Lorenz attractor (x),19.98011662829284,10.728853943292828,3.039781290507346,11.10893768838039,0.9953483757895084
Lorenz attractor (x) + noise,19.286294025064272,9.29946466809422,2.9155866690360126,10.126718606782768,0.974165105257357
Sine wave,19.930980721395063,24.88011176022352,3.790596847788165,5.638455123227792,0.9987977707817548
Sine wave + noise,13.532974052616831,3.447957702674684,1.623022827730193,4.150668671361874,0.8011445212663049
White noise,9.496048487399698,4.23461573114695,1.921863300540963,4.784548541385227,0.6598787439321611
