epsilon,TT,L
0.1,2.5,2.0
0.2,3.3333333333333335,3.0
0.3,3.652173913043478,3.75
0.4,3.338235294117647,3.1666666666666665
0.5,2.9382716049382718,3.111111111111111
0.6,2.8998242530755713,3.2598425196850394
0.7,2.9499072356215215,3.38671875
0.7999999999999999,2.9882712901580826,3.473469387755102
0.8999999999999999,3.1399361022364216,3.588235294117647
0.9999999999999999,3.3083989501312336,3.855084067253803
1.0999999999999999,3.47736298649722,4.139169472502806
1.2,3.7332926829268294,4.545721476510067
1.3,4.018659295093297,4.959040959040959
1.4,4.338590604026845,5.366949849273774
1.5,4.724799286351472,5.904116107542232
1.5999999999999999,5.131554181231514,6.400208768267223
1.7,5.597808492093139,6.954571053125586
1.8,6.153089217557252,7.53110379483625
1.9,6.831004930734914,8.267030423280424
2.0,7.510567685589519,8.882306477093207
