file,tau,m,mD,mL,mEN,mTT,mLAM,mDEratio,rank,group
pks1510-324_lc_liner.csv,44,3,0.9967629291299763,82.17429690920594,4.00180294501849,38.639097952216034,0.9957191780821918,21.44432301806741,13,Mid
pks0528+134_lc_liner.csv,4,4,0.9510356494908768,16.640240064187854,2.820189022016319,17.41249964390271,0.9877529286474973,21.40530167706111,14,Mid
3c446_lc_liner.csv,8,5,0.9890694076423875,29.53053058915619,3.4591625807122037,29.759140347518475,0.9930675909878682,20.905550035498845,15,Mid
pks1004-217_lc_liner.csv,20,5,0.9634673398064212,12.649178280930688,2.739557747287903,16.837279539290844,0.9540921919096895,20.801981558786125,16,Mid
pks2144+092_lc_liner.csv,7,4,0.9600887909207023,10.52888287101884,2.729883667493932,12.593530808316256,0.9715052204176334,20.498726858705542,17,Mid
s4_1849+67_lc_liner.csv,8,5,0.8816628088637921,6.683840646499043,2.1124033301407286,8.422089938374118,0.8937104708362614,20.470031619009852,18,Mid
txs0646-176_lc_liner.csv,12,5,0.9802747863716077,27.22978905495441,2.6151696752826963,36.97210196307359,0.9974615499477378,20.466253668995556,19,Mid
mg2_j071354+1934_lc_liner.csv,10,3,0.9695955500493421,25.72300310472334,3.039982328745819,25.353538658820767,0.987375415282392,20.408207167691305,20,Mid
pks0438-43_lc_liner.csv,5,4,0.9729954832604015,53.5211208914816,3.2936688375136627,62.7950461277916,0.999368553988634,20.185605166329736,21,Mid
nrao676_lc_liner.csv,4,5,0.9553214714031082,13.501126389826897,2.5125192742944575,20.343963349528163,0.9909934497816594,19.970956861705957,22,Mid
pks1329-049_lc_liner.csv,4,4,0.9614438421637364,20.11198103768477,2.7599317964529795,30.257041436295204,0.9995359628770302,19.952371679499763,23,Mid
gb1310+487_lc_liner.csv,2,3,0.9817484799315487,72.4166916872341,3.7774105729797194,102.88485532517431,0.9894595359366157,19.9251936640074,24,Mid
pks0035-252_lc_liner.csv,8,4,0.9698269861526384,31.19703375690907,2.7953019932609107,38.30685062380927,0.996272630457934,19.878285991969115,25,Mid
pks2123-463_lc_liner.csv,5,4,0.9878790657501131,32.54304748923597,3.4004232393146943,34.98639009554078,0.9897492625368731,19.861450681337615,26,Mid
pmn_j2141-6411_lc_liner.csv,8,5,0.939482700661588,11.655429836556515,2.6750080362786686,15.87903112922111,0.9604264254563075,19.850032121022483,27,Mid
pks2142-75_lc_liner.csv,4,4,0.9218126329570062,16.728869997550696,2.648730578595183,22.749213475229006,0.9945768282662284,19.82674922303791,28,Mid
1ES2322-409_lc_liner.csv,11,4,0.9391168527801226,10.186522941611688,2.6612187977674786,12.508098397248627,0.9030569160614761,19.81596317111289,29,Mid
pks0235-618_lc_liner.csv,4,3,0.9905614884454799,27.119000385595825,3.5722786831056603,37.99130100243907,0.9806853582554517,19.73178915836091,30,Mid
pks0507+17_lc_liner.csv,3,3,0.9783398552397091,16.712991151284694,2.7201781829314866,26.385433877426426,0.9788434414668548,19.7090990608358,31,Mid
pmn_j0852-5755_lc_liner.csv,3,4,0.9631952142773205,19.44029332669277,2.757525821914505,28.127819829356206,0.9835280753002272,19.646859050997932,32,Mid
pks1824-582_lc_liner.csv,5,4,0.9566533580598314,15.161799298684254,2.43568248788104,24.767277057851945,0.9936203028603477,19.63596520890104,33,Mid
pmn_j0017-0512_lc_liner.csv,8,4,0.9703009773980297,14.266956359228706,2.594734546740516,16.526757296410217,0.9718809482609448,19.598823253971833,34,Mid
4c+31.03_lc_liner.csv,7,5,0.9281098437697672,12.807934638302427,2.342052636975004,13.78500044308348,0.9659849144183348,19.553194803922533,35,Mid
s4_1800+44_lc_liner.csv,3,5,0.9571510866517172,17.686082614118938,2.676470471368623,26.120243166685704,0.9827817531305904,19.54437869822485,36,Mid
pks0131-522_lc_liner.csv,2,4,0.9539761025533435,21.907034174732157,3.5899770727655493,32.52376348316082,0.983640081799591,19.445820316910687,37,Mid
ok630_lc_liner.csv,4,4,0.9407116294124485,13.593534341186274,2.610250200722825,20.08010824537257,0.9318336278374337,19.339667445530104,38,Mid
mrc_1036-529_lc_liner.csv,11,4,0.977550029991445,32.08964084649069,3.3390195009579977,39.005894755415184,0.9947322212467077,19.32706573777808,39,Mid
txs2241+406_lc_liner.csv,10,5,0.9068861339686695,9.62721356026109,2.2572512135201626,14.483814640089722,0.9852088167053364,19.292905685935153,40,Mid
pks1346-112_lc_liner.csv,9,3,0.968427728414391,17.85849618297859,3.3360961842007377,17.809331380325677,0.9770089933275312,19.282815320882534,41,Mid
pks1451-375_lc_liner.csv,9,5,0.9995656372869582,63.842736872393836,4.729875066803107,67.21454856618769,0.9956709956709957,19.23490832655491,42,Mid
pks0403-13_lc_liner.csv,24,4,0.9787363403712585,12.17629829170445,3.055651544160855,11.962501844273248,0.9807923169267707,19.17709534263273,43,Mid
pks2155-83_lc_liner.csv,6,4,0.9451858082700062,11.705979431465995,2.615823640805689,12.949058509441016,0.9655303606756962,19.168548857971576,44,Mid
txs1700+685_lc_liner.csv,3,5,0.8821745770948048,9.227483878704188,2.4112166840302813,11.456835191192388,0.9523532829750145,19.140270886418282,45,Mid
4c+40.25_lc_liner.csv,6,3,0.9931599930081422,39.2498736441009,3.809401015559928,56.604984340153486,0.9706154864328259,19.10034924999595,46,Mid
txs2358+209_lc_liner.csv,3,5,0.9299051727737488,11.823028982313774,2.7966677756453864,14.178171774469229,0.9693603296900197,18.985412694111105,47,Mid
b2_1846+32a_lc_liner.csv,11,5,0.9613412018397625,12.691567516077304,2.8279329115578298,16.04259243455777,0.9801306840912122,18.684661799863754,48,Mid
pks2255-282_lc_liner.csv,8,4,0.8928021540731699,11.855627150219345,2.4756120581951673,17.182300411491905,0.9474452554744526,18.679442636420436,49,Mid
b3_1708+433_lc_liner.csv,6,5,0.941885484852064,9.157120188008175,2.23755588497067,14.683313529290524,0.9784857261067439,18.563003431861777,50,Mid
gb6_j0742+5444_lc_liner.csv,15,10,0.9560795921049525,10.93146312768003,2.4486998758250813,13.819471293883083,0.9597462514417532,18.51246076502383,51,Mid
b2_1504+37_lc_liner.csv,3,4,0.9440657874865362,12.806784263484682,2.6506751152059067,17.901737917830992,0.9588412088829521,18.395280812173016,52,Mid
sbs1150+497_lc_liner.csv,13,3,0.9860207315038192,28.883676649588363,3.3015531803365854,44.276446531478456,0.9711270410195142,18.365642784650763,53,Mid
pks1313-333_lc_liner.csv,8,4,0.9486301780185696,12.236890933884439,2.736978657650973,17.85410450760617,0.9543700721355477,18.32320557256344,54,Mid
pmn_j0531-4827_lc_liner.csv,15,6,0.9540651655164138,16.001310760084838,2.7484231111907684,19.901151508825023,0.9825256710502612,18.288094598226284,55,Mid
h1426+428_lc_liner.csv,10,4,0.9497137320782917,7.48352194972791,2.4824645490480313,6.36410246192153,0.9583272727272727,18.2535041692562,56,Mid
pks2032+107_lc_liner.csv,11,5,0.9541719764865324,11.634607160984066,2.557086905506066,17.518092384606508,0.9736520543760501,18.20603618361845,57,Mid
3c345_lc_liner.csv,3,5,0.925883431374206,11.686460970341713,2.686757126031442,13.94477432718924,0.9417615413486801,18.051601481835828,58,Mid
pks1730-13_lc_liner.csv,5,4,0.9371096621484313,10.039688831903435,2.5663161811506567,12.634191267479627,0.9470231464290135,17.73873027372459,59,Mid
pks0514-459_lc_liner.csv,11,4,0.9193991666880162,9.284419759384551,2.7507988041141114,9.857428901310186,0.9368516597510373,17.736526157973348,60,Mid
s5_2007+77_lc_liner.csv,6,5,0.9205335306537281,9.494035593917229,2.4908763697030247,11.042548081660343,0.9396052631578947,17.584435379155124,61,Mid
pks0805-07_lc_liner.csv,5,5,0.8923653153379583,6.621195249711309,2.104177887487728,9.733066049932939,0.9448650012616705,17.5411261827086,62,Mid
pks2326-502_lc_liner.csv,23,6,0.9090399592357912,17.007114077850396,2.767577390183408,20.38152318029122,0.9635497835497836,17.39442880005997,63,Mid
pks_b1908-201_lc_liner.csv,5,4,0.8619169139935507,6.26572955967986,2.0844285090276156,7.7085887831440925,0.8683702273064924,17.348178415829956,64,Mid
pks_b1622-297_lc_liner.csv,7,4,0.9198299489604664,9.882346957070297,2.571790308489569,11.685623285759103,0.9334039548022599,17.2903462546682,65,Mid
pks0130-17_lc_liner.csv,3,4,0.8888899270595658,8.622264101511073,2.6631178162634663,10.825593813156589,0.920815581253804,17.273765127624195,66,Mid
pks0402-362_lc_liner.csv,4,5,0.8914165454702643,8.639183752241882,2.1332203025100047,12.573376731894536,0.9269719461567493,17.209880936624526,67,Mid
4c+71.07_lc_liner.csv,4,4,0.92529046679024,12.758758962666366,2.59714571241128,19.398224291034133,0.9199145755472504,17.082627021412268,68,Mid
b2_1846+32B_lc_liner.csv,34,4,0.8877991921452623,5.544972175871304,2.170906729533128,7.6124031430492165,0.9276315789473685,17.066173606301938,69,Mid
pmn_j2250-2806_lc_liner.csv,7,4,0.9131727865638428,8.118429382214932,2.2866713340509297,9.909568711961162,0.9228763551530123,17.015796340322986,70,Mid
s4_0954+65_lc_liner.csv,3,5,0.8740785290158464,6.948405525155948,1.8145083054164437,9.724512282304355,0.9282185411217669,16.999310015361708,71,Mid
pks0244-470_lc_liner.csv,5,5,0.8975992063662902,9.525763217526784,2.244722711899695,11.047475702850814,0.9053713806126731,16.90086106728742,72,Mid
pks_b2258-022_lc_liner.csv,29,4,0.9656937142128598,9.084838916569147,2.8140061748359915,12.220734326175835,0.9410350678733032,16.802097622898792,73,Mid
txs1530-131_lc_liner.csv,5,6,0.9190624141436737,7.5424472720906,2.16273539829976,9.50935842714928,0.9225712822263957,16.742097723242836,74,Mid
pks0537-286_lc_liner.csv,7,5,0.9250034671307379,6.426170729174049,2.2842766693708043,8.476820297432194,0.9170070249959157,16.63985148815449,75,Mid
ot081_lc_liner.csv,3,4,0.9381579243315302,13.314212956406347,2.4536075609981514,20.33208414941759,0.8989711168959961,16.626730769080062,76,Mid
4c+14.23_lc_liner.csv,5,4,0.9241554552573362,11.622707790039048,2.4097302983069904,17.230590713814955,0.9084339040134718,16.55798734128457,77,Mid
pks2320-035_lc_liner.csv,2,4,0.8994713281212172,12.538606921813825,3.218137550367325,15.874983235320764,0.8955223880597015,16.467604571859418,78,Mid
pks0903-57_lc_liner.csv,2,5,0.8909156753860803,13.872735159707924,3.264090948490684,16.65840543904427,0.8930232558139535,16.277318343064646,79,Mid
pks0906+01_lc_liner.csv,19,6,0.8798749215816336,6.318224526988232,2.0611490045125067,7.718765968611929,0.9240200166805671,15.943633873376548,80,Mid
s3_0458-02_lc_liner.csv,4,5,0.8170165549249042,7.92010687916722,2.2545853897863086,10.509434993242946,0.8581440986823662,15.85211448290638,81,Mid
pks0502+049_lc_liner.csv,5,5,0.9073053985652801,8.794253472901248,2.3905670363135103,13.095091494360423,0.8909255645386116,15.738457052925298,82,Mid
4c+21.35_lc_liner.csv,13,8,0.8478913660343471,7.28562933644047,2.0413473290094033,10.531119664586317,0.9001151884153366,15.730346245723894,83,Mid
pks1502+106_lc_liner.csv,28,3,0.8018167572941726,6.872509633953202,2.220370386394429,9.580068536598713,0.7316870144284129,15.49601195366845,84,Mid
oj248_lc_liner.csv,11,3,0.937350476548478,15.779946811375291,2.89109480852534,21.47117408523041,0.8815653964984552,15.46182070996064,85,Mid
b2_1732+38A_lc_liner.csv,8,5,0.9053657247163477,9.408833270411465,2.3317953232100637,13.830212614415334,0.890339091490723,15.402784005855171,86,Mid
1ES2344+514_lc_liner.csv,3,4,0.8339205819053814,6.216477482812413,2.311076715250894,7.184097463855535,0.8410783055198973,15.305190667736689,87,Mid
3c279_lc_liner.csv,3,6,0.8172480034614236,7.432177758382332,1.5172083362747382,10.640443601696013,0.83818271483171,15.29839534892523,88,Mid
b2_1215+30_lc_liner.csv,1,4,0.7484976719355301,3.6636160386734873,1.6321828112639427,3.9720956808433754,0.6603191875226696,15.296545472429749,89,Mid
pks2149-306_lc_liner.csv,4,4,0.8910056670744213,9.000201561438542,2.361498453072494,11.997437820882013,0.8631810593413265,15.269620575838431,90,Mid
3c454.3_lc_liner.csv,8,4,0.9274113046380025,10.708024163836493,2.505825415840616,16.362001478737568,0.8658261196838539,15.164464975524988,91,Mid
pmn_j2345-1555_lc_liner.csv,4,4,0.8075454611966126,6.804132948735952,2.119096970352877,8.986142520472994,0.8586525759577279,14.992325199002115,92,Mid
pks0250-225_lc_liner.csv,7,5,0.826565321870403,4.867449230728328,1.88537136241413,6.159249053788267,0.8668322506687046,14.889873245976144,93,Mid
mkn501_lc_liner.csv,1,4,0.6743462713000181,3.3464552969312558,1.4782199902371043,3.3195610870060386,0.5710727736605515,14.779474717112093,94,Mid
cta102_lc_liner.csv,10,5,0.9122575567052783,9.555209713398185,2.426955675276478,14.603821151977929,0.841999732656062,14.501298642565711,95,Mid
pks1954-388_lc_liner.csv,5,4,0.8066384603439675,5.927533864786248,2.099702416280233,7.615723817469335,0.8423684210526315,14.45528523199446,96,Mid
