51.125,31
51.250,27
51.375,34
51.500,34
51.625,30
51.750,24
51.875,24
52.000,30
52.125,30
52.250,34
52.375,18
52.500,23
52.625,35
52.750,37
52.875,37
53.000,48
53.125,36
53.250,68
53.375,68
53.500,68
53.625,78
53.750,77
53.875,89
54.000,99
54.125,77
54.250,82
54.375,80
54.500,72
54.625,78
54.750,78
54.875,68
55.000,44
55.125,41
55.250,34
55.375,34
55.500,32
55.625,29
55.750,36
55.875,36
56.000,20
56.125,29
56.250,34
56.375,34
56.500,32
56.625,37
56.750,28
56.875,24
57.000,22
57.125,28
57.250,22
57.375,41
57.500,53
57.625,41
57.750,57
57.875,48
58.000,54
58.125,61
58.250,71
58.375,75
58.500,92
58.625,72
58.750,66
58.875,73
59.000,89
59.125,63
59.250,76
59.375,59
59.500,39
59.625,46
59.750,28
59.875,31
60.000,31
60.125,31
60.250,40
60.375,30
60.500,19
60.625,27
60.750,27
60.875,34
61.000,34
61.125,29
61.250,38
61.375,29
61.500,18
61.625,21
61.750,21
61.875,24
62.000,19
62.125,28
62.250,34
62.375,40
62.500,40
62.625,47
62.750,76
62.875,76
63.000,95
63.125,99
63.250,87
63.375,63
63.500,50
63.625,69
63.750,69
63.875,56
64.000,50
64.125,47
64.250,42
64.375,42
64.500,36
64.625,36
64.750,44
64.875,44
65.000,36
65.125,21
65.250,32
65.375,32
65.500,33
65.625,28
65.750,36
65.875,36
66.000,18
66.125,41
66.250,27
66.375,27
66.500,15
66.625,30
66.750,30
66.875,26
67.000,20
67.125,32
67.250,48
67.375,42
67.500,62
67.625,88
67.750,112
67.875,93
68.000,88
68.125,95
68.250,72
68.375,72
68.500,72
68.625,80
68.750,70
68.875,61
69.000,49
69.125,67
69.250,56
69.375,56
69.500,48
69.625,53
69.750,38
69.875,38
70.000,31
70.125,35
70.250,19
70.375,30
70.500,34
70.625,45
70.750,31
70.875,31
71.000,26
71.125,26
71.250,32
71.375,37
71.500,32
71.625,42
71.750,41
71.875,41
72.000,50
72.125,55
72.250,52
72.375,78
72.500,105
72.625,105
72.750,112
72.875,112
73.000,88
73.125,95
73.250,69
73.375,69
73.500,71
73.625,59
73.750,55
73.875,55
74.000,32
74.125,44
74.250,37
74.375,37
74.500,55
74.625,35
74.750,31
74.875,31
75.000,36
75.125,41
75.250,23
75.375,39
75.500,21
75.625,31
75.750,31
75.875,25
76.000,30
76.125,30
76.250,31
76.375,23
76.500,30
76.625,35
76.750,41
76.875,46
77.000,46
77.125,39
77.250,55
77.375,55
77.500,61
77.625,70
77.750,78
77.875,101
78.000,82
78.125,71
78.250,82
78.375,78
78.500,63
78.625,55
78.750,43
78.875,57
79.000,48
79.125,48
79.250,54
79.375,42
79.500,42
79.625,47
79.750,47
79.875,36
80.000,36
80.125,41
80.250,32
80.375,20
80.500,25
80.625,15
80.750,29
80.875,29
81.000,29
81.125,29
81.250,15
81.375,15
81.500,27
81.625,33
81.750,39
81.875,39
82.000,45
82.125,67
82.250,77
82.375,95
82.500,95
82.625,77
82.750,75
82.875,75
