type,lambda
original,1.6616595608396314
FT_surrogate,1.2559456996011549
FT_surrogate,0.9274092672710637
FT_surrogate,1.1189483393727568
FT_surrogate,0.9710774738378848
FT_surrogate,1.0940848485365147
FT_surrogate,1.3447722389564203
FT_surrogate,1.1048979132355208
FT_surrogate,1.200882880512423
FT_surrogate,1.220886374919794
FT_surrogate,1.09833304565678
FT_surrogate,0.9431998187033026
FT_surrogate,1.1537462230242357
FT_surrogate,1.3461193701558072
FT_surrogate,1.0779168201127205
FT_surrogate,1.1359971711469257
FT_surrogate,0.9417653714903274
FT_surrogate,1.0225142000701086
FT_surrogate,1.3199297163147594
FT_surrogate,1.3977438025132283
FT_surrogate,1.1395861749207878
FT_surrogate,1.378379046288515
FT_surrogate,1.325653944925644
FT_surrogate,0.984108480677191
FT_surrogate,0.9821668068431242
FT_surrogate,0.9747825047160803
FT_surrogate,1.4372899738525313
FT_surrogate,1.463975290892889
FT_surrogate,1.027704625632937
FT_surrogate,1.105568545595169
FT_surrogate,1.3137667038788003
FT_surrogate,0.9824405070847382
FT_surrogate,1.1952585630314634
FT_surrogate,1.3310153731659407
FT_surrogate,1.265659441226475
FT_surrogate,1.0642291370212502
FT_surrogate,1.2480673489936414
FT_surrogate,1.023505555825984
FT_surrogate,1.2497947878798903
FT_surrogate,1.0971607167773714
Shuffle_surrogate,1.0135356927817554
Shuffle_surrogate,1.1024858995808158
Shuffle_surrogate,0.6586593123676645
Shuffle_surrogate,0.7574364748985296
Shuffle_surrogate,0.8031388493813548
Shuffle_surrogate,0.7587224179848366
Shuffle_surrogate,0.7551966445783366
Shuffle_surrogate,0.6263342930063434
Shuffle_surrogate,0.47944780014898847
Shuffle_surrogate,0.8939817327016694
Shuffle_surrogate,0.43205004477739584
Shuffle_surrogate,0.8416938108058554
Shuffle_surrogate,0.4525061026002481
Shuffle_surrogate,0.39067349045246186
Shuffle_surrogate,0.505711339724916
Shuffle_surrogate,0.8331436462188203
Shuffle_surrogate,0.38876970349616813
Shuffle_surrogate,0.2912780564410087
Shuffle_surrogate,0.5266634704179511
Shuffle_surrogate,0.6171296442983132
Shuffle_surrogate,0.9818952401359563
Shuffle_surrogate,0.8941797748035332
Shuffle_surrogate,0.721756734751968
Shuffle_surrogate,0.43684142755556604
Shuffle_surrogate,0.8701991727797289
Shuffle_surrogate,0.5700064955195219
Shuffle_surrogate,0.3535990769500423
Shuffle_surrogate,0.8685431942543624
Shuffle_surrogate,0.5497713503445154
Shuffle_surrogate,0.5551588889401534
Shuffle_surrogate,0.5146964490415119
Shuffle_surrogate,0.6027236571542043
Shuffle_surrogate,0.3542640550342263
Shuffle_surrogate,0.41545882634624465
Shuffle_surrogate,0.6283653190537397
Shuffle_surrogate,0.7134347645932954
Shuffle_surrogate,0.5563341433656074
Shuffle_surrogate,0.6321701513028205
Shuffle_surrogate,0.6636116041227956
