type,lambda
original,0.7145577047262943
FT_surrogate,0.5759383910477077
FT_surrogate,0.4704527165910765
FT_surrogate,0.43635998623457706
FT_surrogate,0.5090796488308852
FT_surrogate,0.6153562993556342
FT_surrogate,0.43549087291580013
FT_surrogate,0.5329312475199167
FT_surrogate,0.5735504081134977
FT_surrogate,0.5018480995085891
FT_surrogate,0.5840766231500101
FT_surrogate,0.5420385256687031
FT_surrogate,0.5262880974251165
FT_surrogate,0.5613336918701468
FT_surrogate,0.5043754991211926
FT_surrogate,0.605569163877643
FT_surrogate,0.570932477805615
FT_surrogate,0.5842180021576244
FT_surrogate,0.45689711406273
FT_surrogate,0.5312193473246587
FT_surrogate,0.4121272159878174
FT_surrogate,0.45473692216642253
FT_surrogate,0.44189594805699794
FT_surrogate,0.5758967824431326
FT_surrogate,0.40808337284901697
FT_surrogate,0.4369125792830138
FT_surrogate,0.49872604502327234
FT_surrogate,0.5179074429415809
FT_surrogate,0.472242081027957
FT_surrogate,0.523081439521306
FT_surrogate,0.6453921595936091
FT_surrogate,0.5154466502926536
FT_surrogate,0.59238103633037
FT_surrogate,0.51798180316918
FT_surrogate,0.5956135426795314
FT_surrogate,0.5497417723775696
FT_surrogate,0.49647901507039954
FT_surrogate,0.521043345609784
FT_surrogate,0.5405092688693609
FT_surrogate,0.5786586674073654
Shuffle_surrogate,0.5276959572628908
Shuffle_surrogate,0.5696444556796879
Shuffle_surrogate,0.4287736027919595
Shuffle_surrogate,0.4430989049783704
Shuffle_surrogate,0.6252682300877733
Shuffle_surrogate,0.580228909132795
Shuffle_surrogate,0.5904101745547073
Shuffle_surrogate,0.7181349719350594
Shuffle_surrogate,0.643476431212636
Shuffle_surrogate,0.5596811284899603
Shuffle_surrogate,0.49007178900955944
Shuffle_surrogate,0.5068013182389931
Shuffle_surrogate,0.5296121061845321
Shuffle_surrogate,0.5494712435240524
Shuffle_surrogate,0.4471974685904166
Shuffle_surrogate,0.46199735088072147
Shuffle_surrogate,0.6541871613446528
Shuffle_surrogate,0.48357015822694904
Shuffle_surrogate,0.5346628166402616
Shuffle_surrogate,0.5928491867054885
Shuffle_surrogate,0.6039001711378963
Shuffle_surrogate,0.5134845124148487
Shuffle_surrogate,0.6983133959156308
Shuffle_surrogate,0.5076345833970549
Shuffle_surrogate,0.6041691305450003
Shuffle_surrogate,0.5693703633011452
Shuffle_surrogate,0.6029877693873668
Shuffle_surrogate,0.47559080890336697
Shuffle_surrogate,0.48041631907714716
Shuffle_surrogate,0.537315253232012
Shuffle_surrogate,0.5516640904037451
Shuffle_surrogate,0.660496895984308
Shuffle_surrogate,0.5805858957810612
Shuffle_surrogate,0.5656024763251446
Shuffle_surrogate,0.5248595647351543
Shuffle_surrogate,0.4986250867867999
Shuffle_surrogate,0.639200120623349
Shuffle_surrogate,0.55770877675971
Shuffle_surrogate,0.5388057528140704
