epsilon,TT,L
0.1,21.335239771227453,15.9438202247191
0.2,29.381771002270515,20.257142857142856
0.3,44.959716403480506,30.6079822616408
0.4,60.087650816181686,41.18316100443131
0.5,74.00712945590995,49.30035335689046
0.6,98.64308681672026,67.46641318124207
0.7,124.88427947598254,89.3273013375295
0.7999999999999999,146.59888406695597,109.59235074626865
0.8999999999999999,143.20156910078455,106.88123300090662
0.9999999999999999,137.20506912442397,101.35304198800343
1.0999999999999999,128.49302575107296,92.1798449612403
1.2,124.0366168127901,87.78587196467991
1.3,117.4439048081593,81.58991825613079
1.4,115.39049881235154,79.3953795379538
1.5,115.68276515151516,79.71588661832564
1.5999999999999999,115.5815702867889,80.26187335092348
1.7,115.8813320825516,79.8640522875817
1.8,113.90384615384616,77.52015113350126
1.9,117.14747191011236,80.80626223091977
2.0,113.83167870036101,77.30179344465058
