epsilon,TT,L
0.1,3.664335664335664,5.607843137254902
0.2,3.6705426356589146,3.8
0.3,4.316717791411043,3.711568938193344
0.4,4.757457386363637,3.707732634338139
0.5,5.393680614859095,3.9436773255813953
0.6,5.977629285299245,4.22509822047608
0.7,6.39933675652546,4.380165289256198
0.7999999999999999,7.4085161770174786,4.988297872340426
0.8999999999999999,8.43634338588074,5.589010206503679
0.9999999999999999,9.446748739981823,6.220203160270881
1.0999999999999999,10.633881578947369,6.946059933407326
1.2,11.875031409665802,7.679812311473579
1.3,12.889001349527666,8.261565836298933
1.4,13.957227518680753,8.862970828210573
1.5,14.920734908136483,9.450849377123443
1.5999999999999999,16.112397142598788,10.17516294227188
1.7,17.552457466918714,11.155650580329871
1.8,19.581683419636512,12.657112385015331
1.9,22.032147591692443,14.350685331000292
2.0,24.659066362654507,16.232257033248082
