file,tau,m,mD,mL,mEN,mTT,mLAM,mDEratio,rank,group,nearest_indicator,nearest_dist
pks0346-27_lc_liner.csv,27,3,0.9747832430210892,36.827158073730985,3.074500433633838,57.91074713275879,0.944076331831434,32.57818996399783,1,High,Brownian motion,3.6805538792473853
oq334_lc_liner.csv,15,4,0.9832277747983624,31.372129115778662,3.3228065649510703,41.92003696895037,0.9943359845745964,31.20891582478908,2,High,Brownian motion,2.802657063336658
pks1454-354_lc_liner.csv,21,4,0.9111250549557393,8.297897681005104,2.3828270927171102,11.275199956720751,0.8940688940688941,28.337188855059875,3,High,Brownian motion,1.810676849755309
pks1830-211_lc_liner.csv,20,6,0.7798567876362283,5.845985087188335,1.969803963509398,8.776695892576479,0.518590240123935,27.32618809478238,4,High,Sine wave + noise,3.2180540668002027
pmn_j1913-3630_lc_liner.csv,24,4,0.9960047075372892,20.644296266126265,3.61393806243048,19.42719234546056,0.9719598583234949,27.116425916039525,5,High,Brownian motion,1.4664575598280363
pks0920-39_lc_liner.csv,16,5,0.9816661552304052,39.25020170554289,3.4343886013881813,25.06835664775387,0.9612051176227816,25.536646755564576,6,High,Sine wave,1.8892622891831656
pks_b1406-076_lc_liner.csv,26,5,0.8581629817595587,5.857772728883559,2.120326847717979,6.977585580667466,0.8445451886516525,24.850564319737924,7,High,Lorenz attractor (x) + noise,1.7155251206379645
pks0235+164_lc_liner.csv,11,4,0.904755963579342,11.064309884097188,2.4603757183666866,14.69595468216906,0.905955243203255,22.74132202435458,8,High,Lorenz attractor (x) + noise,1.0179281528998918
b3_0650+453_lc_liner.csv,6,4,0.9911400052330864,27.000069420790616,3.3932371105213184,37.35065282557333,0.9872909698996656,22.71913155333833,9,High,Brownian motion,1.703944804260437
op313_lc_liner.csv,6,4,0.9260273856156792,8.718333298524218,2.578277102237009,10.938182457453712,0.9442440401505646,22.68667405383504,10,High,Lorenz attractor (x) + noise,0.7909066502341219
pmn_j1717-5155_lc_liner.csv,23,2,0.9998627711851144,144.08128009016332,5.6400019984444905,135.63356644866522,0.984055459272097,22.58596187175043,11,High,Sine wave,10.55679984280696
nvss_J090442_lc_liner.csv,55,3,0.9869968150015952,23.24884104136691,3.4573104762700866,22.28207186634142,0.9769799945190464,22.26866196011611,12,High,Brownian motion,0.9949364829289264
pks1510-324_lc_liner.csv,44,3,0.9967629291299764,82.17429690920594,4.00180294501849,38.639097952216034,0.9957191780821918,21.44432301806741,13,Mid,Sine wave,3.9921861844279514
