epsilon,TT,L
0.1,2.6296296296296298,2.6538461538461537
0.2,3.533707865168539,2.8606870229007635
0.3,4.943010752688172,3.840119165839126
0.4,5.993413405656722,4.636300897170463
0.5,6.748766954377312,5.121835443037975
0.6,7.0146474677259185,5.269933554817276
0.7,7.3293089092422985,5.537712895377129
0.7999999999999999,7.809359067734887,5.814015375517445
0.8999999999999999,8.140482659421448,5.959707882145556
0.9999999999999999,8.669122959109956,6.270426287744227
1.0999999999999999,9.331942949407965,6.625779207721697
1.2,10.149980572464706,7.159290347195727
1.3,10.901610468042275,7.7011664506572854
1.4,11.554171704957678,8.18473037907101
1.5,12.202167326963412,8.522631667507993
1.5999999999999999,13.211767425731129,9.19119351100811
1.7,13.955971319740085,9.71024
1.8,14.802867775831874,10.318779342723005
1.9,15.833387604471941,10.800908402725208
2.0,16.846053913608316,11.270888692057868
