epsilon,TT,L
0.1,0.0,4.0
0.2,2.0588235294117645,2.95
0.3,2.578125,2.9622641509433962
0.4,3.0303030303030303,3.15
0.5,3.6542168674698794,3.624633431085044
0.6,4.128855380397533,3.6371951219512195
0.7,4.896638655462185,3.9015334947538336
0.7999999999999999,5.7411013081837545,4.376017362995117
0.8999999999999999,6.662924090798145,4.869951534733441
0.9999999999999999,7.798095650292145,5.530709195792332
1.0999999999999999,8.65747572815534,6.01050481470674
1.2,9.552460202604921,6.596959189117098
1.3,10.273809523809524,7.139814582811326
1.4,11.180789079407358,7.754146341463414
1.5,11.638479809976246,8.113673421849523
1.5999999999999999,12.096385542168674,8.618432971014492
1.7,12.403093076049943,8.922150537634408
1.8,12.713483146067416,9.052462955546655
1.9,13.162169075329325,9.22655663915979
2.0,13.602793432982113,9.514703261450721
