file,tau,m,m_use,mD,mL,mEN,mTT,rank,group
pmn_j1717-5155_lc_liner.csv,23,2,2,0.9998627711851145,144.08128009016332,5.6400019984444905,135.63356644866522,1,High
pks1451-375_lc_liner.csv,9,5,5,0.9995656372869582,63.842736872393836,4.729875066803107,67.21454856618769,2,High
pks1510-324_lc_liner.csv,44,3,3,0.9967629291299763,82.17429690920594,4.00180294501849,38.639097952216034,3,High
pmn_j1913-3630_lc_liner.csv,24,4,4,0.9960047075372891,20.644296266126265,3.6139380624304804,19.42719234546056,4,High
4c+40.25_lc_liner.csv,6,3,3,0.9931599930081422,39.2498736441009,3.809401015559928,56.604984340153486,5,High
b3_0650+453_lc_liner.csv,6,4,4,0.9911400052330863,27.000069420790616,3.3932371105213184,37.35065282557333,6,High
pks0235-618_lc_liner.csv,4,3,3,0.9905614884454799,27.119000385595825,3.5722786831056603,37.99130100243907,7,High
3c446_lc_liner.csv,8,5,5,0.9890694076423875,29.53053058915619,3.4591625807122037,29.759140347518475,8,High
pks2123-463_lc_liner.csv,5,4,4,0.9878790657501131,32.54304748923597,3.4004232393146943,34.98639009554078,9,High
nvss_J090442_lc_liner.csv,55,3,3,0.9869968150015953,23.24884104136691,3.4573104762700866,22.28207186634142,10,High
sbs1150+497_lc_liner.csv,13,3,3,0.9860207315038192,28.883676649588363,3.3015531803365854,44.276446531478456,11,High
oq334_lc_liner.csv,15,4,4,0.9832277747983623,31.372129115778666,3.3228065649510703,41.92003696895037,12,High
gb1310+487_lc_liner.csv,2,3,3,0.9817484799315487,72.4166916872341,3.7774105729797194,102.88485532517431,13,High
pks0920-39_lc_liner.csv,16,5,5,0.9816661552304051,39.25020170554289,3.4343886013881813,25.06835664775387,14,High
txs0646-176_lc_liner.csv,12,5,5,0.9802747863716077,27.22978905495441,2.6151696752826963,36.97210196307359,15,High
pks0403-13_lc_liner.csv,24,4,4,0.9787363403712585,12.17629829170445,3.055651544160855,11.962501844273248,16,High
pks0507+17_lc_liner.csv,3,3,3,0.9783398552397091,16.712991151284694,2.7201781829314866,26.385433877426426,17,High
mrc_1036-529_lc_liner.csv,11,4,4,0.977550029991445,32.08964084649069,3.3390195009579977,39.005894755415184,18,High
pks0346-27_lc_liner.csv,27,3,3,0.9747832430210892,36.827158073730985,3.0745004336338386,57.910747132758786,19,High
pks0438-43_lc_liner.csv,5,4,4,0.9729954832604015,53.5211208914816,3.2936688375136627,62.7950461277916,20,High
pmn_j0017-0512_lc_liner.csv,8,4,4,0.9703009773980297,14.266956359228706,2.594734546740516,16.526757296410217,21,High
pks0035-252_lc_liner.csv,8,4,4,0.9698269861526384,31.19703375690907,2.7953019932609107,38.30685062380927,22,High
