file,tau,m,m_use,mD,mL,mEN,mTT,rank,group
pks1730-13_lc_liner.csv,5,4,4,0.9371096621484313,10.039688831903435,2.5663161811506567,12.634191267479627,49,Mid
txs2358+209_lc_liner.csv,3,5,5,0.9299051727737488,11.823028982313774,2.7966677756453864,14.178171774469229,50,Mid
4c+31.03_lc_liner.csv,7,5,5,0.9281098437697672,12.807934638302427,2.342052636975004,13.78500044308348,51,Mid
3c454.3_lc_liner.csv,8,4,4,0.9274113046380025,10.708024163836493,2.505825415840616,16.362001478737568,52,Mid
op313_lc_liner.csv,6,4,4,0.9260273856156791,8.718333298524218,2.578277102237009,10.938182457453713,53,Mid
3c345_lc_liner.csv,3,5,5,0.925883431374206,11.686460970341713,2.686757126031442,13.94477432718924,54,Mid
4c+71.07_lc_liner.csv,4,4,4,0.92529046679024,12.758758962666366,2.59714571241128,19.398224291034133,55,Mid
pks0537-286_lc_liner.csv,7,5,5,0.9250034671307379,6.426170729174049,2.2842766693708043,8.476820297432194,56,Mid
4c+14.23_lc_liner.csv,5,4,4,0.9241554552573362,11.622707790039048,2.4097302983069904,17.230590713814955,57,Mid
pks2142-75_lc_liner.csv,4,4,4,0.9218126329570062,16.728869997550696,2.648730578595183,22.749213475229006,58,Mid
s5_2007+77_lc_liner.csv,6,5,5,0.9205335306537281,9.494035593917229,2.4908763697030247,11.042548081660343,59,Mid
pks_b1622-297_lc_liner.csv,7,4,4,0.9198299489604664,9.882346957070297,2.571790308489569,11.685623285759103,60,Mid
pks0514-459_lc_liner.csv,11,4,4,0.9193991666880162,9.284419759384551,2.7507988041141114,9.857428901310186,61,Mid
txs1530-131_lc_liner.csv,5,6,6,0.9190624141436737,7.5424472720906,2.16273539829976,9.50935842714928,62,Mid
pmn_j2250-2806_lc_liner.csv,7,4,4,0.9131727865638428,8.118429382214932,2.2866713340509297,9.909568711961162,63,Mid
cta102_lc_liner.csv,10,5,5,0.9122575567052783,9.555209713398185,2.426955675276478,14.603821151977929,64,Mid
pks1454-354_lc_liner.csv,21,4,4,0.9111250549557391,8.297897681005104,2.3828270927171102,11.275199956720753,65,Mid
pks2326-502_lc_liner.csv,23,6,6,0.9090399592357912,17.007114077850396,2.767577390183408,20.38152318029122,66,Mid
