file,tau,m,m_use,mD,mL,mEN,mTT,rank,group
3c273_lc_liner.csv,8,5,5,0.813030493281737,6.851768961124653,1.8935843955788427,10.375092904156663,97,Low
pks0226-559_lc_liner.csv,10,3,3,0.811808871856989,8.10692985288525,2.1803414442106286,9.421175629593487,98,Low
s4_1030+61_lc_liner.csv,5,4,4,0.8113149424322694,5.881005675790718,1.9948050129556143,7.634879792888365,99,Low
pmn_j2345-1555_lc_liner.csv,4,4,4,0.8075454611966126,6.804132948735952,2.119096970352877,8.986142520472994,100,Low
pks1954-388_lc_liner.csv,5,4,4,0.8066384603439675,5.927533864786248,2.099702416280233,7.615723817469335,101,Low
pks1502+106_lc_liner.csv,28,3,3,0.8018167572941726,6.872509633953202,2.220370386394429,9.580068536598713,102,Low
pks2233-148_lc_liner.csv,6,5,5,0.8009383954809579,6.046734273342854,1.8968502055268979,9.02024904382484,103,Low
txs0059+581_lc_liner.csv,12,5,5,0.7916637169531034,5.144669907343942,1.9718186526873105,6.689147140718978,104,Low
b2_2308+34_lc_liner.csv,15,5,5,0.78617837471167,4.849932690910764,1.8324668074621246,6.483063931447065,105,Low
pks1830-211_lc_liner.csv,20,6,6,0.7798567876362283,5.845985087188335,1.969803963509398,8.776695892576479,106,Low
pks0336-01_lc_liner.csv,4,4,4,0.77454444222511,5.453761841537836,1.7809041367246035,6.926400561394651,107,Low
pks0301-243_lc_liner.csv,2,4,4,0.7628852210010794,8.909692036969156,2.8140238424892288,8.564319151451576,108,Low
ton599_lc_liner.csv,8,4,4,0.75254670476616,5.729442669684781,1.8328413716493046,8.197460199480426,109,Low
og050_lc_liner.csv,4,5,5,0.748970531287135,4.288324403088447,1.5195637716538541,5.137172114454749,110,Low
b2_1215+30_lc_liner.csv,1,4,4,0.7484976719355301,3.6636160386734873,1.6321828112639427,3.9720956808433754,111,Low
4c+28.07_lc_liner.csv,16,4,4,0.7479825407211237,7.102385035769393,2.023967329199027,9.967217678363019,112,Low
b2_0619+33_lc_liner.csv,14,10,10,0.7427178583705146,3.876455411449883,1.3968631661719766,5.181470202883951,113,Low
mg1_j123931+0443_lc_liner.csv,12,6,6,0.7351527929972334,5.997585450350428,1.8337985804597925,8.201580112045752,114,Low
pks1244-255_lc_liner.csv,3,5,5,0.7255691357591304,4.543921819304542,1.5674637674915417,5.677231638292532,115,Low
4c+01.02_lc_liner.csv,24,5,5,0.7196238836611023,5.193912495730323,1.7814545238853938,7.29319832104026,116,Low
s4_1749+70_lc_liner.csv,3,4,4,0.7188725985875053,4.765342051450856,1.4320736076748706,6.690361096369432,117,Low
4c+38.41_lc_liner.csv,18,4,4,0.6981222234317739,4.811996900414917,1.7152913621411858,6.793683920734677,118,Low
s4_1144+40_lc_liner.csv,16,5,5,0.6781100553823156,4.181960016703858,1.7824692455378088,5.492441921793873,119,Low
mg1_j021114+1051_lc_liner.csv,3,4,4,0.6752594147012629,5.11976965214263,1.7653015210511533,5.560557465497718,120,Low
mkn501_lc_liner.csv,1,4,4,0.6743462713000181,3.3464552969312558,1.4782199902371043,3.3195610870060386,121,Low
pks1510-089_lc_liner.csv,5,5,5,0.6649332315443449,5.259130885221617,1.592873033672999,7.645468318151033,122,Low
b3_1343+451_lc_liner.csv,14,4,4,0.6532579970506616,3.83667824943167,1.5972358532272808,4.861187750280871,123,Low
4c+01.28_lc_liner.csv,7,4,4,0.6531847915848892,3.9247859926675672,1.6417851951946443,4.84743691424028,124,Low
pg1553+113_lc_liner.csv,1,4,4,0.6502959469846601,3.138158196912644,1.372694135115188,3.035216282503112,125,Low
w_comae_lc_liner.csv,3,4,4,0.6410789006090053,4.007857335113789,1.6132800552983002,4.433216123784969,126,Low
pks1424-41_lc_liner.csv,19,4,4,0.624198661863047,3.7677510435679364,1.5126966262252375,4.995104523911413,127,Low
s5_1044+71_lc_liner.csv,21,6,6,0.6072182988070278,4.372721067101137,1.539519990830256,5.90104445352961,128,Low
pks0454-234_lc_liner.csv,8,4,4,0.5870003549871426,3.5222283766009364,1.3549942641938026,4.376315389363282,129,Low
pks0426-380_lc_liner.csv,15,4,4,0.5644440142912664,3.514941085041547,1.4589002003043772,4.417789802041282,130,Low
s5_1803+784_lc_liner.csv,2,5,5,0.5515690484370614,5.5335792833700195,2.1669687264473994,5.358591080870315,131,Low
oj287_lc_liner.csv,4,5,5,0.5510621476712656,3.5572627304656947,1.2946008153736552,4.2424971120009465,132,Low
b2_1520+31_lc_liner.csv,36,4,4,0.5430876324801115,3.423639145140874,1.3634127486351262,4.561868164541119,133,Low
pks0727-11_lc_liner.csv,34,4,4,0.5285240296107421,3.0546041415983534,1.2993922414525172,4.336734651997366,134,Low
1ES1959+650_lc_liner.csv,10,4,4,0.527895245584139,2.8901705883290605,1.0960233462847004,3.8657317047150883,135,Low
txs0506+056_lc_liner.csv,10,4,4,0.5261223804887589,3.072679426389768,1.1779434808542626,4.057648120013559,136,Low
ox169_lc_liner.csv,2,4,4,0.5142349614604003,5.221077207076135,2.1194990826087716,4.946239890181085,137,Low
pks0537-441_lc_liner.csv,82,6,6,0.5015567478237356,3.0653811119468624,1.2298950673355893,4.72807048507371,138,Low
pks0208-512_lc_liner.csv,29,5,5,0.4736887134510964,2.886634327815659,1.123707159708088,3.83593014743369,139,Low
s5_0716+71_lc_liner.csv,3,4,4,0.4618346019327547,3.20203230217151,1.0209005705517746,3.9176069215222977,140,Low
bl_lac_lc_liner.csv,9,4,4,0.43174879171589386,2.715313829906498,1.040890711863891,3.45157331693286,141,Low
aplibrae_lc_liner.csv,2,4,4,0.40358911974179373,4.14428942973325,1.7654798290386147,4.044943489793448,142,Low
mkn421_lc_liner.csv,6,4,4,0.38715879197460623,2.4832042945894317,0.7859411356880461,3.146250317205653,143,Low
3c66a_lc_liner.csv,2,4,4,0.37135036850926034,4.777067308903095,1.9148953471489065,4.128254066937878,144,Low
pks2155-304_lc_liner.csv,2,4,4,0.24494161028673625,3.3038132276023306,1.3793448374184796,3.3710686439105437,145,Low
