file,tau,m,m_use,mD,mL,mEN,mTT
1ES1959+650_lc_liner.csv,10,4,4,0.527895245584139,2.8901705883290605,1.0960233462847004,3.8657317047150883
1ES2322-409_lc_liner.csv,11,4,4,0.9391168527801226,10.186522941611688,2.6612187977674786,12.508098397248627
1ES2344+514_lc_liner.csv,3,4,4,0.8339205819053814,6.216477482812413,2.311076715250894,7.184097463855535
3c273_lc_liner.csv,8,5,5,0.813030493281737,6.851768961124653,1.8935843955788427,10.375092904156663
3c279_lc_liner.csv,3,6,6,0.8172480034614236,7.432177758382332,1.5172083362747382,10.640443601696013
3c345_lc_liner.csv,3,5,5,0.925883431374206,11.686460970341713,2.686757126031442,13.94477432718924
3c446_lc_liner.csv,8,5,5,0.9890694076423875,29.53053058915619,3.4591625807122037,29.759140347518475
3c454.3_lc_liner.csv,8,4,4,0.9274113046380025,10.708024163836493,2.505825415840616,16.362001478737568
3c66a_lc_liner.csv,2,4,4,0.37135036850926034,4.777067308903095,1.9148953471489065,4.128254066937878
4c+01.02_lc_liner.csv,24,5,5,0.7196238836611023,5.193912495730323,1.7814545238853938,7.29319832104026
4c+01.28_lc_liner.csv,7,4,4,0.6531847915848892,3.9247859926675672,1.6417851951946443,4.84743691424028
4c+14.23_lc_liner.csv,5,4,4,0.9241554552573362,11.622707790039048,2.4097302983069904,17.230590713814955
4c+21.35_lc_liner.csv,13,8,8,0.8478913660343471,7.28562933644047,2.0413473290094033,10.531119664586317
4c+28.07_lc_liner.csv,16,4,4,0.7479825407211237,7.102385035769393,2.023967329199027,9.967217678363019
4c+31.03_lc_liner.csv,7,5,5,0.9281098437697672,12.807934638302427,2.342052636975004,13.78500044308348
4c+38.41_lc_liner.csv,18,4,4,0.6981222234317739,4.811996900414917,1.7152913621411858,6.793683920734677
4c+40.25_lc_liner.csv,6,3,3,0.9931599930081422,39.2498736441009,3.809401015559928,56.604984340153486
4c+71.07_lc_liner.csv,4,4,4,0.92529046679024,12.758758962666366,2.59714571241128,19.398224291034133
aplibrae_lc_liner.csv,2,4,4,0.40358911974179373,4.14428942973325,1.7654798290386147,4.044943489793448
b2_0619+33_lc_liner.csv,14,10,10,0.7427178583705146,3.876455411449883,1.3968631661719766,5.181470202883951
b2_1215+30_lc_liner.csv,1,4,4,0.7484976719355301,3.6636160386734873,1.6321828112639427,3.9720956808433754
b2_1504+37_lc_liner.csv,3,4,4,0.9440657874865362,12.806784263484682,2.6506751152059067,17.901737917830992
b2_1520+31_lc_liner.csv,36,4,4,0.5430876324801115,3.423639145140874,1.3634127486351262,4.561868164541119
b2_1732+38A_lc_liner.csv,8,5,5,0.9053657247163477,9.408833270411465,2.3317953232100637,13.830212614415334
b2_1846+32B_lc_liner.csv,34,4,4,0.8877991921452623,5.544972175871304,2.170906729533128,7.6124031430492165
b2_1846+32a_lc_liner.csv,11,5,5,0.9613412018397625,12.691567516077304,2.8279329115578298,16.04259243455777
b2_2308+34_lc_liner.csv,15,5,5,0.78617837471167,4.849932690910764,1.8324668074621246,6.483063931447065
b3_0650+453_lc_liner.csv,6,4,4,0.9911400052330863,27.000069420790616,3.3932371105213184,37.35065282557333
b3_1343+451_lc_liner.csv,14,4,4,0.6532579970506616,3.83667824943167,1.5972358532272808,4.861187750280871
b3_1708+433_lc_liner.csv,6,5,5,0.941885484852064,9.157120188008175,2.23755588497067,14.683313529290524
bl_lac_lc_liner.csv,9,4,4,0.43174879171589386,2.715313829906498,1.040890711863891,3.45157331693286
cta102_lc_liner.csv,10,5,5,0.9122575567052783,9.555209713398185,2.426955675276478,14.603821151977929
gb1310+487_lc_liner.csv,2,3,3,0.9817484799315487,72.4166916872341,3.7774105729797194,102.88485532517431
gb6_j0742+5444_lc_liner.csv,15,10,10,0.9560795921049525,10.93146312768003,2.4486998758250813,13.819471293883083
h1426+428_lc_liner.csv,10,4,4,0.9497137320782917,7.48352194972791,2.4824645490480313,6.36410246192153
mg1_j021114+1051_lc_liner.csv,3,4,4,0.6752594147012629,5.11976965214263,1.7653015210511533,5.560557465497718
mg1_j123931+0443_lc_liner.csv,12,6,6,0.7351527929972334,5.997585450350428,1.8337985804597925,8.201580112045752
mg2_j071354+1934_lc_liner.csv,10,3,3,0.9695955500493421,25.72300310472334,3.039982328745819,25.353538658820767
mkn421_lc_liner.csv,6,4,4,0.38715879197460623,2.4832042945894317,0.7859411356880461,3.146250317205653
mkn501_lc_liner.csv,1,4,4,0.6743462713000181,3.3464552969312558,1.4782199902371043,3.3195610870060386
mrc_1036-529_lc_liner.csv,11,4,4,0.977550029991445,32.08964084649069,3.3390195009579977,39.005894755415184
nrao676_lc_liner.csv,4,5,5,0.9553214714031082,13.501126389826897,2.5125192742944575,20.343963349528163
nvss_J090442_lc_liner.csv,55,3,3,0.9869968150015953,23.24884104136691,3.4573104762700866,22.28207186634142
og050_lc_liner.csv,4,5,5,0.748970531287135,4.288324403088447,1.5195637716538541,5.137172114454749
oj248_lc_liner.csv,11,3,3,0.937350476548478,15.779946811375291,2.89109480852534,21.47117408523041
oj287_lc_liner.csv,4,5,5,0.5510621476712656,3.5572627304656947,1.2946008153736552,4.2424971120009465
ok630_lc_liner.csv,4,4,4,0.9407116294124485,13.593534341186274,2.610250200722825,20.08010824537257
on246_lc_liner.csv,8,4,4,0.871108261474606,7.597286167129719,2.2482112419498077,11.184246859289605
op313_lc_liner.csv,6,4,4,0.9260273856156791,8.718333298524218,2.578277102237009,10.938182457453713
oq334_lc_liner.csv,15,4,4,0.9832277747983623,31.372129115778666,3.3228065649510703,41.92003696895037
ot081_lc_liner.csv,3,4,4,0.9381579243315302,13.314212956406347,2.4536075609981514,20.33208414941759
ox169_lc_liner.csv,2,4,4,0.5142349614604003,5.221077207076135,2.1194990826087716,4.946239890181085
pg1553+113_lc_liner.csv,1,4,4,0.6502959469846601,3.138158196912644,1.372694135115188,3.035216282503112
pks0035-252_lc_liner.csv,8,4,4,0.9698269861526384,31.19703375690907,2.7953019932609107,38.30685062380927
pks0130-17_lc_liner.csv,3,4,4,0.8888899270595658,8.622264101511073,2.6631178162634663,10.825593813156589
pks0131-522_lc_liner.csv,2,4,4,0.9539761025533435,21.907034174732157,3.5899770727655493,32.52376348316082
pks0208-512_lc_liner.csv,29,5,5,0.4736887134510964,2.886634327815659,1.123707159708088,3.83593014743369
pks0226-559_lc_liner.csv,10,3,3,0.811808871856989,8.10692985288525,2.1803414442106286,9.421175629593487
pks0235+164_lc_liner.csv,11,4,4,0.9047559635793421,11.064309884097188,2.4603757183666866,14.69595468216906
pks0235-618_lc_liner.csv,4,3,3,0.9905614884454799,27.119000385595825,3.5722786831056603,37.99130100243907
pks0244-470_lc_liner.csv,5,5,5,0.8975992063662902,9.525763217526784,2.244722711899695,11.047475702850814
pks0250-225_lc_liner.csv,7,5,5,0.826565321870403,4.867449230728328,1.88537136241413,6.159249053788267
pks0301-243_lc_liner.csv,2,4,4,0.7628852210010794,8.909692036969156,2.8140238424892288,8.564319151451576
pks0336-01_lc_liner.csv,4,4,4,0.77454444222511,5.453761841537836,1.7809041367246035,6.926400561394651
pks0346-27_lc_liner.csv,27,3,3,0.9747832430210892,36.827158073730985,3.0745004336338386,57.910747132758786
pks0402-362_lc_liner.csv,4,5,5,0.8914165454702643,8.639183752241882,2.1332203025100047,12.573376731894536
pks0403-13_lc_liner.csv,24,4,4,0.9787363403712585,12.17629829170445,3.055651544160855,11.962501844273248
pks0426-380_lc_liner.csv,15,4,4,0.5644440142912664,3.514941085041547,1.4589002003043772,4.417789802041282
pks0438-43_lc_liner.csv,5,4,4,0.9729954832604015,53.5211208914816,3.2936688375136627,62.7950461277916
pks0440-00_lc_liner.csv,7,4,4,0.9004278943943523,10.784077316268249,2.305079632844896,15.385707726740026
pks0454-234_lc_liner.csv,8,4,4,0.5870003549871426,3.5222283766009364,1.3549942641938026,4.376315389363282
pks0502+049_lc_liner.csv,5,5,5,0.9073053985652801,8.794253472901248,2.3905670363135103,13.095091494360423
pks0507+17_lc_liner.csv,3,3,3,0.9783398552397091,16.712991151284694,2.7201781829314866,26.385433877426426
pks0514-459_lc_liner.csv,11,4,4,0.9193991666880162,9.284419759384551,2.7507988041141114,9.857428901310186
pks0528+134_lc_liner.csv,4,4,4,0.9510356494908768,16.640240064187854,2.820189022016319,17.41249964390271
pks0537-286_lc_liner.csv,7,5,5,0.9250034671307379,6.426170729174049,2.2842766693708043,8.476820297432194
pks0537-441_lc_liner.csv,82,6,6,0.5015567478237356,3.0653811119468624,1.2298950673355893,4.72807048507371
pks0727-11_lc_liner.csv,34,4,4,0.5285240296107421,3.0546041415983534,1.2993922414525172,4.336734651997366
pks0736+01_lc_liner.csv,8,4,4,0.8318899569031768,6.429646742511215,1.9342855435293345,9.157672471012686
pks0805-07_lc_liner.csv,5,5,5,0.8923653153379583,6.621195249711309,2.104177887487728,9.733066049932939
pks0903-57_lc_liner.csv,2,5,5,0.8909156753860803,13.872735159707924,3.264090948490684,16.65840543904427
pks0906+01_lc_liner.csv,19,6,6,0.8798749215816336,6.318224526988232,2.0611490045125067,7.718765968611929
pks0920-39_lc_liner.csv,16,5,5,0.9816661552304051,39.25020170554289,3.4343886013881813,25.06835664775387
pks1004-217_lc_liner.csv,20,5,5,0.9634673398064212,12.649178280930688,2.739557747287903,16.837279539290844
pks1244-255_lc_liner.csv,3,5,5,0.7255691357591304,4.543921819304542,1.5674637674915417,5.677231638292532
pks1313-333_lc_liner.csv,8,4,4,0.9486301780185696,12.236890933884439,2.736978657650973,17.85410450760617
pks1329-049_lc_liner.csv,4,4,4,0.9614438421637364,20.11198103768477,2.7599317964529795,30.257041436295204
pks1346-112_lc_liner.csv,9,3,3,0.968427728414391,17.85849618297859,3.3360961842007377,17.809331380325677
pks1424-41_lc_liner.csv,19,4,4,0.624198661863047,3.7677510435679364,1.5126966262252375,4.995104523911413
pks1451-375_lc_liner.csv,9,5,5,0.9995656372869582,63.842736872393836,4.729875066803107,67.21454856618769
pks1454-354_lc_liner.csv,21,4,4,0.9111250549557391,8.297897681005104,2.3828270927171102,11.275199956720753
pks1502+106_lc_liner.csv,28,3,3,0.8018167572941726,6.872509633953202,2.220370386394429,9.580068536598713
pks1510-089_lc_liner.csv,5,5,5,0.6649332315443449,5.259130885221617,1.592873033672999,7.645468318151033
pks1510-324_lc_liner.csv,44,3,3,0.9967629291299763,82.17429690920594,4.00180294501849,38.639097952216034
pks1622-253_lc_liner.csv,12,6,6,0.8576300629027926,4.871830609685417,1.9451825930770272,6.6115425038015925
pks1730-13_lc_liner.csv,5,4,4,0.9371096621484313,10.039688831903435,2.5663161811506567,12.634191267479627
pks1824-582_lc_liner.csv,5,4,4,0.9566533580598314,15.161799298684254,2.43568248788104,24.767277057851945
pks1830-211_lc_liner.csv,20,6,6,0.7798567876362283,5.845985087188335,1.969803963509398,8.776695892576479
pks1954-388_lc_liner.csv,5,4,4,0.8066384603439675,5.927533864786248,2.099702416280233,7.615723817469335
pks2023-07_lc_liner.csv,5,4,4,0.8262952880710145,8.200295207722471,2.0574679054017997,11.992379545017087
pks2032+107_lc_liner.csv,11,5,5,0.9541719764865324,11.634607160984066,2.557086905506066,17.518092384606508
pks2123-463_lc_liner.csv,5,4,4,0.9878790657501131,32.54304748923597,3.4004232393146943,34.98639009554078
pks2142-75_lc_liner.csv,4,4,4,0.9218126329570062,16.728869997550696,2.648730578595183,22.749213475229006
pks2144+092_lc_liner.csv,7,4,4,0.9600887909207023,10.52888287101884,2.729883667493932,12.593530808316256
pks2149-306_lc_liner.csv,4,4,4,0.8910056670744213,9.000201561438542,2.361498453072494,11.997437820882013
pks2155-304_lc_liner.csv,2,4,4,0.24494161028673625,3.3038132276023306,1.3793448374184796,3.3710686439105437
pks2155-83_lc_liner.csv,6,4,4,0.9451858082700062,11.705979431465995,2.615823640805689,12.949058509441016
pks2233-148_lc_liner.csv,6,5,5,0.8009383954809579,6.046734273342854,1.8968502055268979,9.02024904382484
pks2255-282_lc_liner.csv,8,4,4,0.8928021540731699,11.855627150219345,2.4756120581951673,17.182300411491905
pks2320-035_lc_liner.csv,2,4,4,0.8994713281212172,12.538606921813825,3.218137550367325,15.874983235320764
pks2326-502_lc_liner.csv,23,6,6,0.9090399592357912,17.007114077850396,2.767577390183408,20.38152318029122
pks_b1406-076_lc_liner.csv,26,5,5,0.8581629817595587,5.857772728883559,2.120326847717979,6.977585580667466
pks_b1622-297_lc_liner.csv,7,4,4,0.9198299489604664,9.882346957070297,2.571790308489569,11.685623285759103
pks_b1908-201_lc_liner.csv,5,4,4,0.8619169139935507,6.26572955967986,2.0844285090276156,7.7085887831440925
pks_b2258-022_lc_liner.csv,29,4,4,0.9656937142128598,9.084838916569147,2.8140061748359915,12.220734326175835
pmn_j0017-0512_lc_liner.csv,8,4,4,0.9703009773980297,14.266956359228706,2.594734546740516,16.526757296410217
pmn_j0531-4827_lc_liner.csv,15,6,6,0.9540651655164138,16.001310760084838,2.7484231111907684,19.901151508825023
pmn_j0852-5755_lc_liner.csv,3,4,4,0.9631952142773205,19.44029332669277,2.757525821914505,28.127819829356206
pmn_j1717-5155_lc_liner.csv,23,2,2,0.9998627711851145,144.08128009016332,5.6400019984444905,135.63356644866522
pmn_j1913-3630_lc_liner.csv,24,4,4,0.9960047075372891,20.644296266126265,3.6139380624304804,19.42719234546056
pmn_j2141-6411_lc_liner.csv,8,5,5,0.939482700661588,11.655429836556515,2.6750080362786686,15.87903112922111
pmn_j2250-2806_lc_liner.csv,7,4,4,0.9131727865638428,8.118429382214932,2.2866713340509297,9.909568711961162
pmn_j2345-1555_lc_liner.csv,4,4,4,0.8075454611966126,6.804132948735952,2.119096970352877,8.986142520472994
s3_0218+35_lc_liner.csv,9,4,4,0.876976339688483,49.93771058429022,3.3547707412714907,66.7998816293869
s3_0458-02_lc_liner.csv,4,5,5,0.8170165549249042,7.92010687916722,2.2545853897863086,10.509434993242946
s4_0954+65_lc_liner.csv,3,5,5,0.8740785290158464,6.948405525155948,1.8145083054164437,9.724512282304355
s4_1030+61_lc_liner.csv,5,4,4,0.8113149424322694,5.881005675790718,1.9948050129556143,7.634879792888365
s4_1144+40_lc_liner.csv,16,5,5,0.6781100553823156,4.181960016703858,1.7824692455378088,5.492441921793873
s4_1749+70_lc_liner.csv,3,4,4,0.7188725985875053,4.765342051450856,1.4320736076748706,6.690361096369432
