time,data
0,3.79451e-06
1,2.66722e-06
2,2.95565e-06
3,3.42618e-06
4,2.38148e-06
5,4.47676e-06
6,3.60464e-06
7,2.43308e-06
8,2.52095e-06
9,1.82585e-06
10,1.32993e-06
11,1.53962e-06
12,1.23349e-06
13,1.17035e-06
14,1.49116e-06
15,1.65593e-06
16,1.51864e-06
17,1.18664e-06
18,8.953790000000001e-07
19,9.22664e-07
20,6.83282e-07
21,7.249359999999999e-07
22,8.48194e-07
23,7.05882e-07
24,4.6667000000000004e-07
25,4.35788e-07
26,3.5578400000000003e-07
27,2.30785e-07
28,1.9248700000000002e-07
29,1.6148800000000002e-07
30,1.46257e-07
31,1.1352368503867281e-07
32,9.03376e-08
33,1.5527900000000002e-07
34,1.1965e-07
35,2.2286300000000003e-07
36,2.4378600000000004e-07
37,7.003680000000001e-07
38,8.87288e-07
39,8.143879999999999e-07
40,8.92827e-07
41,7.882319999999999e-07
42,9.374650000000001e-07
43,7.33661e-07
44,4.3419900000000004e-07
45,5.14907e-07
46,3.66533e-07
47,3.6570500000000003e-07
48,3.4766000000000003e-07
49,4.78958e-07
50,4.1597200000000004e-07
51,8.56237e-07
52,1.06516e-06
53,1.26508e-06
54,1.54596e-06
55,2.74021e-06
56,2.48973e-06
57,2.69715e-06
58,4.25889e-06
59,2.93568e-06
60,3.37557e-06
61,3.14242e-06
62,2.37914e-06
63,3.4883e-06
64,2.56345e-06
65,1.90366e-06
66,2.5015e-06
67,3.64033e-06
68,6.83629e-06
69,1.397e-05
70,9.4488e-06
71,6.49818e-06
72,4.58678e-06
73,5.10106e-06
74,2.95754e-06
75,3.73472e-06
76,5.33449e-06
77,2.79695e-06
78,2.46341e-06
79,3.01777e-06
80,2.90558e-06
81,3.10776e-06
82,2.97368e-06
83,2.67868e-06
84,2.01438e-06
85,4.40282e-06
86,8.432819999999998e-06
87,1.21491e-05
88,1.03677e-05
89,5.82301e-06
90,3.54625e-06
91,7.13042e-06
92,4.91171e-06
93,3.25882e-06
94,2.44094e-06
95,2.09926e-06
96,2.04527e-06
97,1.6877e-06
98,1.91237e-06
99,1.57939e-06
100,1.41724e-06
101,1.4718e-06
102,1.79355e-06
103,1.23163e-06
104,2.29239e-06
105,2.47258e-06
106,2.27781e-06
107,3.07525e-06
108,2.02e-06
109,2.15281e-06
110,3.58867e-06
111,4.13209e-06
112,2.35091e-06
113,2.27799e-06
114,3.49637e-06
115,4.00567e-06
116,6.12139e-06
117,1.05312e-05
118,9.88627e-06
119,4.14635e-05
120,2.23413e-05
121,1.57501e-05
122,1.19108e-05
123,1.61475e-05
124,1.41386e-05
125,8.670739999999998e-06
126,1.25431e-05
127,6.23088e-06
128,6.22208e-06
129,3.53169e-06
130,2.91716e-06
131,2.59115e-06
132,3.10421e-06
133,2.55283e-06
134,2.97688e-06
135,2.38533e-06
136,2.87983e-06
137,1.59053e-06
138,6.851750000000001e-07
139,9.644e-07
140,5.70686e-07
141,7.192050000000001e-07
142,7.95595e-07
143,5.706220000000001e-07
144,6.630940000000001e-07
145,6.147220000000001e-07
146,5.939930000000001e-07
147,4.4123200000000004e-07
148,4.1479300000000005e-07
149,3.1752700000000003e-07
150,2.8256700000000004e-07
151,3.21694e-07
152,2.78784e-07
153,1.83468e-07
154,1.67682e-07
155,1.3179300000000002e-07
156,1.85103e-07
157,1.1071300000000001e-07
158,6.63639e-08
159,7.49333e-08
160,7.489240011030198e-08
161,7.478302033090596e-08
162,7.462514049635895e-08
163,7.443874044120797e-08
164,7.42438e-08
165,7.39868118049823e-08
166,7.36179981165915e-08
167,7.316293321165868e-08
168,7.264719136701491e-08
169,7.209634685949126e-08
170,7.153597396591885e-08
171,7.099164696312869e-08
172,7.04889401279519e-08
173,7.005342773721956e-08
174,6.971068406776274e-08
175,6.948628339641252e-08
176,6.94058e-08
177,1.61552e-07
178,5.36643e-08
179,4.065173235038905e-08
180,3.35305439529723e-08
181,3.13648e-08
182,3.1522007660800004e-08
183,3.19764024064e-08
184,3.2702141881600004e-08
185,3.36733837312e-08
186,3.48642856e-08
187,3.6249005132800003e-08
188,3.78016999744e-08
189,3.94965277696e-08
190,4.13076461632e-08
191,4.32092128e-08
192,4.51753853248e-08
193,4.71803213824e-08
194,4.9198178617600004e-08
195,5.12031146752e-08
196,5.3169287200000003e-08
197,5.5070853836799995e-08
198,5.688197223039999e-08
199,5.8576800025599994e-08
200,6.01294948672e-08
201,6.151421439999999e-08
202,6.27051162688e-08
203,6.36763581184e-08
204,6.440209759359999e-08
205,6.485649233919998e-08
206,6.50137e-08
207,6.3380028125e-08
208,5.978595000000001e-08
209,5.6191871875e-08
210,5.45582e-08
211,5.648453249208034e-08
212,6.17654e-08
213,8.336679999999998e-08
214,1.7274964292023558e-07
215,2.4609700000000004e-07
216,2.1929200000000003e-07
217,2.0686900000000002e-07
218,1.30498e-07
219,2.6841500000000004e-07
220,2.86866e-07
221,3.52836e-07
222,1.75034e-07
223,9.23255e-08
224,9.50724e-08
225,2.3378100000000002e-07
226,2.79365e-07
227,2.5630600000000005e-07
228,4.97866e-07
229,8.15653e-07
230,5.10292e-07
231,7.30515e-07
232,7.46851e-07
233,8.69372e-07
234,1.03721e-06
235,8.688210000000002e-07
236,7.00432e-07
237,7.215369999999999e-07
238,5.65718e-07
239,6.28701e-07
240,6.139770000000001e-07
241,5.980330000000001e-07
242,8.407670000000001e-07
243,1.08109e-06
244,5.27069e-07
245,3.6094100000000003e-07
246,2.87819e-07
247,1.8813e-07
248,2.87734e-07
249,3.45531e-07
250,6.222890000000001e-07
251,6.161220000000001e-07
252,3.71389e-07
253,5.493300000000001e-07
254,6.06676e-07
255,8.282930000000001e-07
256,8.212729999999999e-07
257,6.37143e-07
258,6.54112e-07
259,6.3626e-07
260,6.110880000000002e-07
261,7.575860000000001e-07
262,8.07125e-07
263,8.547e-07
264,8.4325e-07
265,6.8932e-07
266,8.32407e-07
267,1.09885e-06
268,2.08763e-06
269,1.10977e-06
270,9.131910000000001e-07
271,8.29238e-07
272,1.10045e-06
273,8.08668e-07
274,1.0482e-06
275,7.95603e-07
276,5.119590000000001e-07
277,6.341150000000001e-07
278,5.597260000000001e-07
279,9.014620000000001e-07
280,4.73756e-07
281,6.325390000000001e-07
282,8.91069e-07
283,9.56697e-07
284,8.76433e-07
285,8.07931e-07
286,9.53907e-07
287,9.79672e-07
288,9.9639e-07
289,8.47204e-07
290,9.568920000000003e-07
291,8.101730000000001e-07
292,7.74031e-07
293,1.12423e-06
294,1.09199e-06
295,2.19308e-06
296,1.88188e-06
297,1.77805e-06
298,1.10509e-06
299,1.31382e-06
300,1.76616e-06
301,1.21094e-06
302,2.20251e-06
303,2.03847e-06
304,3.66981e-06
305,7.888939999999998e-06
306,7.67888e-06
307,5.8488e-06
308,3.66466e-06
309,3.23097e-06
310,2.72853e-06
311,2.75231e-06
312,4.35191e-06
313,3.87232e-06
314,4.49293e-06
315,2.72395e-06
316,2.11164e-06
317,1.78869e-06
318,4.00165e-06
319,3.45745e-06
320,2.95737e-06
321,1.75012e-06
322,1.55348e-06
323,1.17184e-06
324,1.16702e-06
325,2.33807e-06
326,2.44919e-06
327,1.54859e-06
328,1.60542e-06
329,2.97208e-06
330,2.09805e-06
331,2.94304e-06
332,3.63615e-06
333,2.35323e-06
334,1.92145e-06
335,1.77901e-06
336,7.823139999999999e-07
337,6.739210000000001e-07
338,1.10507e-06
339,3.509e-06
340,2.40526e-06
341,2.30857e-06
342,1.74266e-06
343,1.75526e-06
344,2.06871e-06
345,2.30332e-06
346,1.60336e-06
347,7.62919e-07
348,8.657450000000001e-07
349,7.28329e-07
350,6.23258e-07
351,8.08142e-07
352,1.87523e-06
353,1.22117e-06
354,8.72436e-07
355,1.09291e-06
356,1.87115e-06
357,1.50146e-06
358,1.80218e-06
359,3.21357e-06
360,5.29843e-06
361,9.014770000000001e-07
362,6.877180000000001e-07
363,7.70188e-07
364,1.11361e-06
365,1.39771e-06
366,2.39551e-06
367,6.97604e-06
368,1.64778e-06
369,2.55622e-06
370,3.34614e-06
371,1.87976e-06
372,2.88131e-06
373,3.00145e-06
374,2.77069e-06
375,2.19069e-06
376,2.40664e-06
377,3.91439e-06
378,3.04836e-06
379,2.45473e-06
380,2.33456e-06
381,1.81141e-06
382,1.08664e-06
383,9.55762e-07
384,9.55139e-07
385,1.22741e-06
386,2.5816e-06
387,2.82661e-06
388,3.76987e-06
389,3.80934e-06
390,2.61495e-06
391,3.1675e-06
392,2.67235e-06
393,1.18006e-06
394,1.52259e-06
395,1.07344e-06
396,3.07095e-06
397,1.401e-06
398,9.354880000000001e-07
399,9.023900000000001e-07
400,1.10753e-06
401,1.12713e-06
402,7.340799999999999e-07
403,7.289300000000001e-07
404,6.272530000000001e-07
405,6.31125e-07
406,1.47768e-06
407,1.83462e-06
408,7.169430000000001e-07
409,1.27714e-06
