epsilon,TT,L
0.1,8.458483754512635,16.116883116883116
0.2,9.863813229571985,15.49390243902439
0.3,10.44486215538847,12.529411764705882
0.4,10.537684537684537,10.747068676716918
0.5,9.796511627906977,8.28149435273675
0.6,9.955407303370787,7.8898055391868
0.7,10.031500414479138,7.606856634016029
0.7999999999999999,9.827556136908655,7.095317725752508
0.8999999999999999,9.659163417227933,6.805894848645778
0.9999999999999999,9.499703791469194,6.505145797598628
1.0999999999999999,9.322282677464255,6.24427344309234
1.2,9.337149270482604,6.153113781801155
1.3,9.389914271306102,6.092760803743463
1.4,9.380477184069672,5.990168709794878
1.5,9.546889429938712,6.044476486246673
1.5999999999999999,9.83202536662703,6.182109949270111
1.7,10.117860107145551,6.2988372093023255
1.8,10.513207822533566,6.486793498337643
1.9,10.960424229482525,6.716382070437566
2.0,11.716457511652923,7.087890797005724
