epsilon,Determinism,LineLength,Entropy
0.1,0.13636363636363635,2.0,-1.000088900581841e-12
0.2,0.22718319107025609,2.3537414965986394,0.7509942450584989
0.3,0.4588505747126437,2.554607508532423,0.9892471213616255
0.4,0.6566964599901471,2.871076923076923,1.2704690337336115
0.5,0.7647212657455433,3.4985044865403787,1.6158673908633796
0.6,0.8170152539707501,4.079302763819095,1.7884833153154212
0.7,0.8534935203840509,4.5701917954182205,1.883493271893409
0.7999999999999999,0.8766467564361381,4.955529411764706,1.948144370582298
0.8999999999999999,0.9010210833139608,5.279891019595515,2.0155397241825614
0.9999999999999999,0.9159300416719283,5.5783503172466835,2.078079417569344
1.0999999999999999,0.9280897594913249,5.988317542084445,2.151676300272729
1.2,0.9417176713168988,6.522733435776914,2.206716217601653
1.3,0.9529022280218452,7.102485590778098,2.2561890496834045
1.4,0.9634480726959596,7.720355910659161,2.2817198424016913
1.5,0.9704839596107633,8.516928314734255,2.323908199224776
1.5999999999999999,0.974994829369183,9.535956306260747,2.361977223986838
1.7,0.977709777097771,10.755775577557756,2.3949700848454856
1.8,0.979504132231405,12.169847789321093,2.428504754793217
1.9,0.981238894559752,14.067615176151762,2.5033527322170324
2.0,0.9825987575807849,16.914167856576235,2.622355615990885
