name,tau,min_m,epsilon,RR,DET,DEratio,L,L_max,DIV,L_entr,LAM,TT,W,W_max,W_div
Lorenz attractor (x),32,8,2.043566864063382,0.049909291435926095,0.9814753941913114,19.66518389569478,8.984663172199573,1943,0.000514668039114771,2.62112812551092,0.9928796377787439,8.08491991538229,149.54296907560223,1932,0.0005175983436853002
Sine wave,20,2,0.29926747433946693,0.05236399268848814,1.0,19.097092270044623,8.091078499883531,1970,0.0005076142131979696,0.06416353160740057,0.42454776642195674,2.3333333333333335,23.66393087739774,49,0.02040816326530612
Logistic map,1,10,2.8703217471274693,0.05003602200799398,0.5095822652995835,10.184308121420411,2.374959167483317,10,0.1,0.8055305794198523,0.128129005126562,2.196824034334764,21.324704542379,1328,0.0007530120481927711
White noise,1,6,1.8188093879451717,0.049856343879793825,0.2432614217019867,4.87924710822162,2.146134089097511,6,0.16666666666666666,0.4373158192473754,0.1964352042404104,2.210642264023047,22.88593142089563,1999,0.0005002501250625312
