name,tau,min_m,epsilon,RR,DET,DEratio,L,L_max,DIV,L_entr,LAM,TT,W,W_max,W_div,E2_1,E2_2,E2_3,E2_4,E2_5,E2_6,E2_7,E2_8,E2_9,E2_mean,E2_last,E2_values,base_name,missing_rate,block_len,n_trials,noise_ratio
Lorenz attractor (x) (missing 0%),37.0,2.0,0.17296730561803045,0.04977514481483605,0.9916789188851003,19.923174961602903,10.192155181652556,530.0,0.0018867924528301887,2.842003900308202,0.9934098705957185,10.541521438450898,188.7599030328038,1963.0,0.0005094243504839531,0.8552471308940712,0.9524846026636545,0.9947848043612534,1.0566341946459776,1.043619157722038,1.045928842767679,1.0206991817584075,1.0403933259766205,1.041041452675943,1.0056480770517384,1.041041452675943,"[0.8552471308940712, 0.9524846026636545, 0.9947848043612534, 1.0566341946459776, 1.043619157722038, 1.045928842767679, 1.0206991817584075, 1.0403933259766205, 1.041041452675943]",Lorenz attractor (x),0.0,10,,
Lorenz attractor (x) (missing 20%),39.0,2.0,0.1847552837195093,0.049810155763029246,0.9917513286625667,19.91062492116673,11.596020021975338,638.0,0.001567398119122257,2.9810816242494895,0.9942781368444134,10.923429882420418,197.0673429743147,1961.0,0.0005099439061703213,0.830027977758367,0.9531091238852252,0.9993382191517817,1.0431775177735743,1.0395541295607524,1.0286117266248793,1.016754421437282,1.0603931907440383,1.0459992991442053,1.001885067342234,1.0459992991442053,"[0.830027977758367, 0.9531091238852252, 0.9993382191517817, 1.0431775177735743, 1.0395541295607524, 1.0286117266248793, 1.016754421437282, 1.0603931907440383, 1.0459992991442053]",Lorenz attractor (x),0.2,10,,
Lorenz attractor (x) (missing 50%),42.0,2.0,0.19991801053036884,0.04971563194813244,0.9920985529753722,19.955464993594237,13.498857795545403,637.0,0.0015698587127158557,3.1147287493488482,0.9951468535871311,11.217280738068483,204.51583913727254,1947.0,0.0005136106831022085,0.7951676747182675,0.9434361504245129,0.9977287556616837,1.0525661163317919,1.03963175049932,1.0149463801364313,1.0416736617021853,1.0395843805149503,1.0001230710239584,0.991650882334789,1.0001230710239584,"[0.7951676747182675, 0.9434361504245129, 0.9977287556616837, 1.0525661163317919, 1.03963175049932, 1.0149463801364313, 1.0416736617021853, 1.0395843805149503, 1.0001230710239584]",Lorenz attractor (x),0.5,10,,
Lorenz attractor (x) (missing 70%),89.0,2.0,0.201028527285791,0.04968398823523291,0.9926918794986828,19.980116628292837,10.728853943292828,589.0,0.001697792869269949,3.039781290507346,0.9953483757895085,11.10893768838039,203.4568864382919,1911.0,0.0005232862375719519,0.7641725858671757,0.9606434789704563,1.0515975927471344,1.0014820838377712,0.9750040712889297,1.0590001404977951,0.9513228301672171,0.9630491159954455,0.960091402480865,0.9651514779836433,0.960091402480865,"[0.7641725858671757, 0.9606434789704563, 1.0515975927471344, 1.0014820838377712, 0.9750040712889297, 1.0590001404977951, 0.9513228301672171, 0.9630491159954455, 0.960091402480865]",Lorenz attractor (x),0.7,10,,
Lorenz attractor (x) (missing 90%),89.0,2.0,0.19439439105120573,0.04956021775936555,0.9930382894082546,20.03700415986564,10.172628480869369,883.0,0.0011325028312570782,3.0041181282936607,0.9951212774186419,10.83937168993741,199.352853284294,1911.0,0.0005232862375719519,0.7778994291128526,0.9459514816326039,1.0312240974302336,0.9642568415742012,0.9746673404878231,1.0652823115027545,0.9296134929165462,0.9482902284930075,0.9377035152293034,0.9527654153754805,0.9377035152293034,"[0.7778994291128526, 0.9459514816326039, 1.0312240974302336, 0.9642568415742012, 0.9746673404878231, 1.0652823115027545, 0.9296134929165462, 0.9482902284930075, 0.9377035152293034]",Lorenz attractor (x),0.9,10,,
Logistic map (missing 0%),1.0,2.0,0.15575882460747356,0.04996995746497561,0.766776842948718,15.344756766826523,3.0831655255739023,18.0,0.05555555555555555,1.4419134211661557,0.1014823717948718,2.7596350265559035,20.57449948456405,310.0,0.0032258064516129032,2.020957523127267,2.017671392638569,1.8530661314276953,1.4602182579483634,1.1893703792533739,1.0919100114536997,1.0418253774852893,1.006239557942552,1.003598455274493,1.4094285651723668,1.003598455274493,"[2.020957523127267, 2.017671392638569, 1.8530661314276953, 1.4602182579483634, 1.1893703792533739, 1.0919100114536997, 1.0418253774852893, 1.006239557942552, 1.003598455274493]",Logistic map,0.0,10,,
Logistic map (missing 20%),1.0,2.0,0.21178416666254343,0.049965953461973606,0.7471952880839811,14.954088460508036,3.0587608151884202,24.0,0.041666666666666664,1.4228703879772937,0.2289696690439939,3.484261870284277,23.205417482859943,1152.0,0.0008680555555555555,0.7093779155982011,1.5813790783112112,1.5382065725094598,1.350895870406548,1.1314025248653434,1.028700508169857,1.0225398472539102,1.0088331805523274,1.0038777974113837,1.1528014772309159,1.0038777974113837,"[0.7093779155982011, 1.5813790783112112, 1.5382065725094598, 1.350895870406548, 1.1314025248653434, 1.028700508169857, 1.0225398472539102, 1.0088331805523274, 1.0038777974113837]",Logistic map,0.2,10,,
Logistic map (missing 50%),1.0,2.0,0.2523286258443636,0.04996495246122311,0.7486827606931784,14.98415837129471,3.202407986631818,48.0,0.020833333333333332,1.4853543158032745,0.5186717419613343,3.995447355222038,31.618552145602493,743.0,0.0013458950201884253,0.6080053477084566,1.4378084032045508,1.3608714904789216,1.1814873379016004,1.0445729345946768,1.0103168512794511,1.0163979979177356,1.01507954575375,1.0132300880971485,1.076418888548477,1.0132300880971485,"[0.6080053477084566, 1.4378084032045508, 1.3608714904789216, 1.1814873379016004, 1.0445729345946768, 1.0103168512794511, 1.0163979979177356, 1.01507954575375, 1.0132300880971485]",Logistic map,0.5,10,,
Logistic map (missing 70%),4.0,2.0,0.38972359623823455,0.049918976229011126,0.5421414133287744,10.86042732209923,4.374746409153615,45.0,0.022222222222222223,1.9812078560977382,0.6367069258540412,5.245526097763049,41.365539364346006,567.0,0.001763668430335097,1.0439673435167691,1.0235971579880736,1.0213856131106198,1.0141359687922435,1.0084886958356054,1.0085694404498387,1.0039251988121864,1.0044318135180763,1.0060140255841457,1.0149461397341732,1.0060140255841457,"[1.0439673435167691, 1.0235971579880736, 1.0213856131106198, 1.0141359687922435, 1.0084886958356054, 1.0085694404498387, 1.0039251988121864, 1.0044318135180763, 1.0060140255841457]",Logistic map,0.7,10,,
Logistic map (missing 90%),5.0,2.0,0.4007358678538951,0.049884108768161003,0.592726906416843,11.882078703091043,4.769779507133593,54.0,0.018518518518518517,2.128369160292595,0.7013397803968974,5.365857418111753,46.70142754645093,610.0,0.001639344262295082,0.9596367797480755,1.0335553000008404,1.0253541584213177,1.018714938470233,1.0134750635968022,1.0048101003890242,1.0073014135183571,1.0034981710007143,1.0010718547234876,1.0074908644298726,1.0010718547234876,"[0.9596367797480755, 1.0335553000008404, 1.0253541584213177, 1.018714938470233, 1.0134750635968022, 1.0048101003890242, 1.0073014135183571, 1.0034981710007143, 1.0010718547234876]",Logistic map,0.9,10,,
Sine wave (missing 0%),20.0,2.0,0.22135952214731422,0.05033006836037139,1.0,19.868838501069362,109.98550724637681,1979.0,0.0005053057099545225,0.8373062720674382,0.999797277435965,4.784255711306203,90.66924951267056,95.0,0.010526315789473684,0.08002704685818415,1.0008926670154705,1.0019383588644624,0.9919587848366364,1.0021527742978216,1.0046050926771541,1.0009976628634236,1.0021453746366396,0.9916105868046075,0.8973698165393778,0.9916105868046075,"[0.08002704685818415, 1.0008926670154705, 1.0019383588644624, 0.9919587848366364, 1.0021527742978216, 1.0046050926771541, 1.0009976628634236, 1.0021453746366396, 0.9916105868046075]",Sine wave,0.0,10,,
Sine wave (missing 20%),20.0,2.0,0.22441240685734176,0.05004438322620141,0.9996839862584992,19.97594778498741,66.0822102425876,1979.0,0.0005053057099545225,3.8790388562197204,0.9991538986921109,4.802489097946984,91.33974626389536,1196.0,0.0008361204013377926,0.09079821967577095,0.9757239689166252,1.000851557532917,0.9926018650210915,1.0006183111598426,0.9991297390577928,1.0020657972373115,0.9991122721708873,0.9946846396511904,0.8950651522692699,0.9946846396511904,"[0.09079821967577095, 0.9757239689166252, 1.000851557532917, 0.9926018650210915, 1.0006183111598426, 0.9991297390577928, 1.0020657972373115, 0.9991122721708873, 0.9946846396511904]",Sine wave,0.2,10,,
