type,lambda
original,0.6805435735651277
PPS_surrogate,0.42283412303922063
PPS_surrogate,0.60167261999772
PPS_surrogate,0.5014661570110682
PPS_surrogate,0.42498615149968866
PPS_surrogate,0.5108737830262071
PPS_surrogate,0.4508288003138201
PPS_surrogate,0.5339371713695839
PPS_surrogate,0.5192349099505658
PPS_surrogate,0.6190065541327077
PPS_surrogate,0.5898719468135212
PPS_surrogate,0.3989692244684174
PPS_surrogate,0.5152948796036425
PPS_surrogate,0.5428543573974052
PPS_surrogate,0.7082945795510415
PPS_surrogate,0.45875542717834045
PPS_surrogate,0.548309908825305
PPS_surrogate,0.6312786931842312
PPS_surrogate,0.5080027289025598
PPS_surrogate,0.38313798204715493
PPS_surrogate,0.5179201011969649
PPS_surrogate,0.4910426227243812
PPS_surrogate,0.5612722470467287
PPS_surrogate,0.555730054508772
PPS_surrogate,0.4477753164115142
PPS_surrogate,0.4570283398302364
PPS_surrogate,0.46465644020834557
PPS_surrogate,0.4360388970164731
PPS_surrogate,0.4725291872766316
PPS_surrogate,0.43547453952953996
PPS_surrogate,0.5775170703060508
PPS_surrogate,0.7155865619584253
PPS_surrogate,0.4760278524345868
PPS_surrogate,0.3775173438730706
PPS_surrogate,0.4942179630048838
PPS_surrogate,0.5744253920529526
PPS_surrogate,0.4485807011922691
PPS_surrogate,0.46428843532708125
PPS_surrogate,0.44725601299521917
PPS_surrogate,0.4189763085163888
