type,lambda
original,0.7798016695814004
PPS_surrogate,0.41315959126696866
PPS_surrogate,0.2672475165752176
PPS_surrogate,0.3404380162933843
PPS_surrogate,0.5496421309017527
PPS_surrogate,0.5567944979931534
PPS_surrogate,0.6521654330203965
PPS_surrogate,0.23523770259473148
PPS_surrogate,0.4041813831340427
PPS_surrogate,0.25934923690291634
PPS_surrogate,0.6606467817218773
PPS_surrogate,0.597843082579656
PPS_surrogate,0.26838482798280294
PPS_surrogate,0.26761799202658304
PPS_surrogate,0.17414132736875504
PPS_surrogate,0.3608194356831886
PPS_surrogate,0.5439784301462723
PPS_surrogate,0.7410133184631247
PPS_surrogate,0.6842334888219548
PPS_surrogate,0.4626265346045974
PPS_surrogate,0.22910222574718286
PPS_surrogate,0.484249857812695
PPS_surrogate,0.35414297965742136
PPS_surrogate,0.6309735743476791
PPS_surrogate,0.43080021814672964
PPS_surrogate,0.635955584477701
PPS_surrogate,0.3936702465253507
PPS_surrogate,-0.03076086742461139
PPS_surrogate,0.28912976764590914
PPS_surrogate,0.05160257021683581
PPS_surrogate,0.2091880726489473
PPS_surrogate,0.4937101087046504
PPS_surrogate,0.4211315847118934
PPS_surrogate,0.48506414315414653
PPS_surrogate,0.7006141444031538
PPS_surrogate,0.44342129479968956
PPS_surrogate,0.30616251986276954
PPS_surrogate,0.718943896593409
PPS_surrogate,0.7126836370361929
PPS_surrogate,0.6578747594994254
