epsilon,Determinism,LineLength,Entropy
0.1,0.9965457685664939,24.041666666666668,3.3255720369586683
0.2,0.9868026394721056,18.8,3.1255749793916703
0.3,0.9797556082436623,17.0,3.1701413758203305
0.4,0.9776162455290182,16.29423076923077,3.215128441819044
0.5,0.961620301048152,16.247669773635153,3.2078139666914796
0.6,0.9550059594755661,12.618110236220472,2.887053278559505
0.7,0.9536684973947331,11.602512849800114,2.8063438129644287
0.7999999999999999,0.955185269725329,10.34528224145035,2.7349403189300605
0.8999999999999999,0.9542510635595911,9.771456436931079,2.709940727802982
0.9999999999999999,0.9551170335415717,9.83789008561171,2.7585680998777304
1.0999999999999999,0.9561777380083358,10.15911933950463,2.8214566809040207
1.2,0.9540956569543705,10.373103448275861,2.8407576085694806
1.3,0.9523681429532136,10.49237933954276,2.83231805865998
1.4,0.9505130074506108,10.855808285946384,2.8142203919191835
1.5,0.9537308731619171,11.05920799692426,2.7336581927886314
1.5999999999999999,0.9551369863013699,10.93920484934926,2.632682402487464
1.7,0.9556197478991597,10.931575433911883,2.54589144934644
1.8,0.9571976384903995,10.74694130401115,2.4992487279290687
1.9,0.9579447820620285,10.779808400884304,2.4593536172112804
2.0,0.9584710769576228,10.935382863649302,2.43799406252514
