time,data
0,1.35159e-07
1,1.1918800000000001e-07
2,6.019090000000001e-08
3,1.5494600000000002e-07
4,1.76597e-07
5,8.53758e-08
6,1.21701e-07
7,1.33136e-07
8,1.7652000000000002e-07
9,1.9064900000000003e-07
10,2.4740448685877137e-07
11,2.93731e-07
12,1.8181600000000002e-07
13,2.2012100000000002e-07
14,1.15953e-07
15,3.15332e-08
16,9.41326e-08
17,7.825556296296297e-08
18,4.876963703703703e-08
19,3.28926e-08
20,1.9533000000000002e-07
21,1.551419111111111e-07
22,8.050688888888889e-08
23,4.03188e-08
24,1.0627900000000001e-07
25,1.36385e-07
26,1.059321e-07
27,7.547919999999998e-08
28,1.5597500000000002e-07
29,3.80219e-07
30,1.8676800000000002e-07
31,1.8959200000000002e-07
32,1.9241600000000002e-07
33,1.5522800000000002e-07
34,1.7892600000000002e-07
35,2.2979900000000003e-07
36,2.1777554433353242e-07
37,2.0227300000000003e-07
38,1.97287e-07
39,1.9536100000000002e-07
40,1.62827e-07
41,1.63277e-07
42,1.91328e-07
43,1.3339065e-07
44,7.545329999999998e-08
45,1.72477e-07
46,5.5759500000000004e-08
47,8.952979999999998e-08
48,7.09728e-08
49,6.50208e-08
50,1.6812000000000003e-07
51,5.97618e-08
52,6.131550685871057e-08
53,6.573759561042524e-08
54,7.266951851851852e-08
55,8.17527278463649e-08
56,9.262867585733885e-08
57,1.049388148148148e-07
58,1.1832459698216737e-07
59,1.3242747462277094e-07
60,1.4688890000000002e-07
61,1.613503253772291e-07
62,1.7545320301783266e-07
63,1.888389851851852e-07
64,2.0114912414266123e-07
65,2.1202507215363514e-07
66,2.2110828148148154e-07
67,2.2804020438957483e-07
68,2.3246229314128945e-07
69,2.3401600000000002e-07
70,2.0884532812500003e-07
71,1.5346985000000002e-07
72,9.809437187500003e-08
73,7.292369999999998e-08
74,1.3703e-07
75,3.48859e-08
76,6.479190000000001e-08
77,9.469790000000001e-08
78,9.454755551160169e-08
79,9.411463069872416e-08
80,9.342628853984352e-08
81,9.250969201343587e-08
82,9.139200409797724e-08
83,9.010038777194376e-08
84,8.866200601381153e-08
85,8.71040218020566e-08
86,8.545359811515511e-08
87,8.37378979315831e-08
88,8.19840842298167e-08
89,8.021931998833198e-08
90,7.847076818560504e-08
91,7.676559180011194e-08
92,7.513095381032881e-08
93,7.359401719473171e-08
94,7.218194493179675e-08
95,7.09219e-08
96,6.952380576498277e-08
97,6.87132e-08
98,7.83164e-08
99,9.072513464748275e-08
100,1.0516822875071598e-07
101,1.20723e-07
102,1.4229576226310239e-07
103,1.55967e-07
104,1.5211559375000002e-07
105,1.4364250000000002e-07
106,1.3516940625000003e-07
107,1.31318e-07
108,1.3686104035472878e-07
109,1.52494e-07
110,2.2580400000000003e-07
111,3.4376700000000004e-07
112,1.90467e-07
113,7.33725e-08
114,1.1658574999999999e-07
115,1.59799e-07
116,8.951964999999998e-08
117,1.9240300000000002e-08
118,2.137415078472614e-08
119,2.717944375926972e-08
120,3.5761789854178426e-08
121,4.6226800000000003e-08
122,7.201115312036514e-08
123,9.224140000000001e-08
124,8.23002e-08
125,7.2359e-08
126,7.5743e-08
127,2.44763e-07
128,1.998948666666667e-07
129,1.1656833333333334e-07
130,7.17002e-08
131,7.604397060180718e-08
132,8.97184e-08
133,2.2031600000000003e-07
134,1.74266e-07
135,1.34676e-07
136,6.25326e-08
137,8.594056635703217e-08
138,1.10805e-07
139,1.1222874973679745e-07
140,1.1390500000000001e-07
141,2.0910100000000001e-07
142,4.24126e-07
143,1.5394500000000002e-07
144,5.213450000000001e-07
145,5.412450000000001e-07
146,2.6021400000000003e-07
147,6.662580000000001e-07
148,1.69739e-06
149,3.46225e-07
150,1.9017000000000001e-07
151,2.40299e-07
152,2.9712300000000003e-07
153,2.53748e-07
154,2.13369e-07
155,2.87861e-07
156,2.50033e-07
157,3.8338200000000004e-07
158,3.68474e-07
159,3.5527000000000003e-07
160,3.42123e-07
161,3.71009e-07
162,1.9574900000000001e-07
163,8.68961e-08
164,1.63016e-07
165,2.21469e-07
166,1.5833600000000002e-07
167,2.0645200000000003e-07
168,2.3014700000000003e-07
169,2.1924000000000002e-07
170,2.3241200000000003e-07
171,1.71028e-07
172,2.82127e-07
173,2.5618100000000004e-07
174,1.7073200000000002e-07
175,1.6860300000000002e-07
176,1.15262e-07
177,1.02063e-07
178,1.0149500000000001e-07
179,7.17348e-08
180,1.52928e-07
181,2.17359e-07
182,9.12393e-08
183,1.5996700000000002e-07
184,1.259042e-07
185,9.18414e-08
186,1.2540967000282814e-07
187,1.8137500000000002e-07
188,2.2619100000000002e-07
189,6.95231e-08
190,2.10358e-07
191,1.16665e-07
192,2.0724300000000002e-07
193,5.62236e-07
194,5.35996e-07
195,1.7091800000000002e-07
196,4.97416e-07
197,4.996230000000002e-07
198,6.4414e-07
199,7.357219999999999e-07
