file,tau,m,mD,mL,mEN,mTT,mLAM,rank,group
s5_1044+71_lc_liner.csv,21,6,0.6072182988070278,4.372721067101137,1.539519990830256,5.90104445352961,0.8202322841272514,128,Low
pks0454-234_lc_liner.csv,8,4,0.5870003549871426,3.5222283766009364,1.3549942641938026,4.376315389363282,0.7040973290448889,129,Low
pks0426-380_lc_liner.csv,15,4,0.5644440142912664,3.514941085041547,1.4589002003043772,4.417789802041282,0.7277173913043479,130,Low
s5_1803+784_lc_liner.csv,2,5,0.5515690484370614,5.5335792833700195,2.1669687264473994,5.358591080870315,0.5299745670340318,131,Low
oj287_lc_liner.csv,4,5,0.5510621476712656,3.5572627304656947,1.2946008153736552,4.2424971120009465,0.629182775629916,132,Low
b2_1520+31_lc_liner.csv,36,4,0.5430876324801115,3.423639145140874,1.3634127486351262,4.561868164541119,0.6501047020750048,133,Low
pks0727-11_lc_liner.csv,34,4,0.5285240296107421,3.0546041415983534,1.2993922414525172,4.336734651997366,0.4992068887378201,134,Low
1ES1959+650_lc_liner.csv,10,4,0.527895245584139,2.8901705883290605,1.0960233462847004,3.8657317047150883,0.5826419910657307,135,Low
txs0506+056_lc_liner.csv,10,4,0.5261223804887589,3.072679426389768,1.1779434808542626,4.057648120013559,0.5625670600858369,136,Low
ox169_lc_liner.csv,2,4,0.5142349614604003,5.221077207076135,2.1194990826087716,4.946239890181085,0.6067576791808874,137,Low
pks0537-441_lc_liner.csv,82,6,0.5015567478237356,3.0653811119468624,1.2298950673355893,4.72807048507371,0.5288035450516987,138,Low
pks0208-512_lc_liner.csv,29,5,0.4736887134510964,2.886634327815659,1.123707159708088,3.83593014743369,0.4686208192408869,139,Low
s5_0716+71_lc_liner.csv,3,4,0.4618346019327547,3.20203230217151,1.0209005705517746,3.9176069215222977,0.5903210057366044,140,Low
bl_lac_lc_liner.csv,9,4,0.43174879171589386,2.715313829906498,1.040890711863891,3.45157331693286,0.5901583863544064,141,Low
aplibrae_lc_liner.csv,2,4,0.40358911974179373,4.14428942973325,1.7654798290386147,4.044943489793448,0.48106530916314877,142,Low
mkn421_lc_liner.csv,6,4,0.38715879197460623,2.4832042945894317,0.7859411356880461,3.146250317205653,0.38823529411764707,143,Low
3c66a_lc_liner.csv,2,4,0.37135036850926034,4.777067308903095,1.9148953471489065,4.128254066937878,0.3729315134678101,144,Low
pks2155-304_lc_liner.csv,2,4,0.24494161028673625,3.3038132276023306,1.3793448374184796,3.3710686439105437,0.27716458180034337,145,Low
