epsilon,TT,L
0.1,15.35973597359736,22.2803738317757
0.2,12.702460850111857,19.868055555555557
0.3,12.41914191419142,16.675675675675677
0.4,12.79054054054054,14.556962025316455
0.5,11.765032377428307,10.944144144144143
0.6,11.377102199223803,9.349547511312217
0.7,11.41108545034642,8.435225618631732
0.7999999999999999,10.860694822888284,7.590471363405981
0.8999999999999999,10.083333333333334,6.882750845546787
0.9999999999999999,9.853281853281853,6.565702230259192
1.0999999999999999,9.751914814122921,6.442023346303502
1.2,10.001189869114397,6.483091787439614
1.3,10.559993531694696,6.85312090790048
1.4,11.085563161169881,7.188560653676933
1.5,11.305294117647058,7.322867298578199
1.5999999999999999,11.912701876909647,7.745679497250589
1.7,12.449375269280482,8.083204334365325
1.8,12.620270643468656,8.162437488423782
1.9,12.610333551340746,8.073547267996531
2.0,12.793419565490392,8.143497757847534
