epsilon,TT,L
0.1,8.441558441558442,17.63157894736842
0.2,8.127272727272727,7.777777777777778
0.3,6.7157190635451505,6.130952380952381
0.4,6.703412073490814,6.213592233009709
0.5,6.117161716171617,5.461773700305811
0.6,6.019370460048426,5.247706422018348
0.7,5.55504234026174,4.6458036984352775
0.7999999999999999,5.4986793449550975,4.331780055917987
0.8999999999999999,5.363769710304363,3.9969249692496924
0.9999999999999999,5.495407737266908,3.923008455718736
1.0999999999999999,5.696108439003061,3.9811891165602957
1.2,6.120380952380953,4.315743183817062
1.3,6.501915070774355,4.588085539714868
1.4,6.721211238899403,4.717520334139372
1.5,7.030243519245876,4.869413813116657
1.5999999999999999,7.4486778846153845,5.1161854768153985
1.7,7.990803814713897,5.436434486117876
1.8,8.676054782416612,5.8400310318076025
1.9,9.23283422459893,6.202119719361098
2.0,10.096088071825566,6.727833235466823
