type,lambda
original,0.6805435735651277
FT_surrogate,0.5014464297762639
FT_surrogate,0.4499181352877938
FT_surrogate,0.5287021390283346
FT_surrogate,0.4329461825302428
FT_surrogate,0.5368036261844793
FT_surrogate,0.5355828665373236
FT_surrogate,0.5484667640753109
FT_surrogate,0.47485932542242487
FT_surrogate,0.47965526408252385
FT_surrogate,0.4568110649523291
FT_surrogate,0.5302606894579457
FT_surrogate,0.5309960231943592
FT_surrogate,0.48342931313808046
FT_surrogate,0.49665450859078925
FT_surrogate,0.49433653070901123
FT_surrogate,0.5832982815583432
FT_surrogate,0.5600750230755587
FT_surrogate,0.5668458764982331
FT_surrogate,0.45376730513109786
FT_surrogate,0.48239506651539144
FT_surrogate,0.4853733779113277
FT_surrogate,0.568614771451179
FT_surrogate,0.48783425369605904
FT_surrogate,0.5026345849017907
FT_surrogate,0.4620607082936691
FT_surrogate,0.5226070357996047
FT_surrogate,0.5128762784992817
FT_surrogate,0.5960074653061485
FT_surrogate,0.5651845479114826
FT_surrogate,0.5472397652906554
FT_surrogate,0.5806631129136256
FT_surrogate,0.5336854787736701
FT_surrogate,0.5112207829544612
FT_surrogate,0.5021072781212502
FT_surrogate,0.4657874404188932
FT_surrogate,0.6327191496358887
FT_surrogate,0.5303517000684759
FT_surrogate,0.5139005295231825
FT_surrogate,0.4988489332480615
Shuffle_surrogate,0.4617035076527166
Shuffle_surrogate,0.6507444470679801
Shuffle_surrogate,0.5610989249389051
Shuffle_surrogate,0.4230991092444869
Shuffle_surrogate,0.5372864353474185
Shuffle_surrogate,0.5597760211242858
Shuffle_surrogate,0.7788708031567417
Shuffle_surrogate,0.5399304532084882
Shuffle_surrogate,0.5660522632042545
Shuffle_surrogate,0.5265126901365013
Shuffle_surrogate,0.46450412390800266
Shuffle_surrogate,0.5119817738758666
Shuffle_surrogate,0.6839008161999282
Shuffle_surrogate,0.6181825854142078
Shuffle_surrogate,0.5015808303764376
Shuffle_surrogate,0.5367525999472775
Shuffle_surrogate,0.4555363969783892
Shuffle_surrogate,0.6394319057887278
Shuffle_surrogate,0.5586224921418513
Shuffle_surrogate,0.524452965100667
Shuffle_surrogate,0.6131698820967258
Shuffle_surrogate,0.510185275699811
Shuffle_surrogate,0.43686210941433823
Shuffle_surrogate,0.6241151734524543
Shuffle_surrogate,0.4804328811918272
Shuffle_surrogate,0.5687501453426224
Shuffle_surrogate,0.5193587182766869
Shuffle_surrogate,0.6084970046688183
Shuffle_surrogate,0.5805634317835121
Shuffle_surrogate,0.4741659670024566
Shuffle_surrogate,0.6257308928584611
Shuffle_surrogate,0.5527258764616844
Shuffle_surrogate,0.556983656727142
Shuffle_surrogate,0.7295380549229856
Shuffle_surrogate,0.65099638478846
Shuffle_surrogate,0.656959080402094
Shuffle_surrogate,0.4818953588876636
Shuffle_surrogate,0.4431727803277154
Shuffle_surrogate,0.5504920478318651
