epsilon,TT,L
0.1,3.3710575139146566,28.65625
0.2,6.643564356435643,25.4375
0.3,9.370030581039755,25.949579831932773
0.4,11.379128137384413,22.78306878306878
0.5,13.008083140877599,22.647773279352226
0.6,14.480572597137014,19.610027855153202
0.7,15.928312159709618,19.11622807017544
0.7999999999999999,17.562295081967214,19.17297297297297
0.8999999999999999,19.614916286149164,19.385779122541603
0.9999999999999999,21.39293286219081,19.9933598937583
1.0999999999999999,23.54757152361943,20.40972222222222
1.2,26.07471264367816,22.423373759647188
1.3,28.666872682323856,23.62474437627812
1.4,30.77731343283582,24.929057337220602
1.5,31.073464912280702,24.142979452054796
1.5999999999999999,31.66581502299438,23.889922480620154
1.7,32.832686711930165,24.312635379061373
1.8,34.8311996206733,25.60196215837421
1.9,36.73135710977304,26.80217539089055
2.0,36.689550949913645,26.087708462013588
