file,tau,m,mD,mL,mEN,mTT,mLAM,mDEratio,rank,group
pks0226-559_lc_liner.csv,10,3,0.811808871856989,8.10692985288525,2.1803414442106286,9.421175629593487,0.8103549141965679,14.121677033618006,97,Low
on246_lc_liner.csv,8,4,0.871108261474606,7.597286167129719,2.2482112419498077,11.184246859289605,0.8326535982107618,13.960125833227304,98,Low
s4_1030+61_lc_liner.csv,5,4,0.8113149424322694,5.881005675790718,1.9948050129556143,7.634879792888365,0.8108857250850448,13.926224390643153,99,Low
pg1553+113_lc_liner.csv,1,4,0.6502959469846601,3.138158196912644,1.372694135115188,3.035216282503112,0.35562697065243754,13.810883604683509,100,Low
pks0301-243_lc_liner.csv,2,4,0.7628852210010794,8.909692036969156,2.8140238424892288,8.564319151451576,0.800498298492951,13.749463810803855,101,Low
s5_1044+71_lc_liner.csv,21,6,0.6072182988070278,4.372721067101137,1.539519990830256,5.90104445352961,0.8202322841272514,13.609553075647275,102,Low
pks0440-00_lc_liner.csv,7,4,0.9004278943943523,10.784077316268249,2.305079632844896,15.385707726740026,0.8271698113207547,13.565722677109292,103,Low
pks1622-253_lc_liner.csv,12,6,0.8576300629027926,4.871830609685417,1.9451825930770272,6.6115425038015925,0.8945918015845676,13.250596950972714,104,Low
pks0736+01_lc_liner.csv,8,4,0.8318899569031768,6.429646742511215,1.9342855435293345,9.157672471012686,0.7218685341397422,13.134153183209207,105,Low
b2_2308+34_lc_liner.csv,15,5,0.78617837471167,4.849932690910764,1.8324668074621246,6.483063931447065,0.8421693264809305,12.7856442828547,106,Low
pks2233-148_lc_liner.csv,6,5,0.8009383954809579,6.046734273342854,1.8968502055268979,9.02024904382484,0.7956730769230769,12.676552460497632,107,Low
pks1424-41_lc_liner.csv,19,4,0.624198661863047,3.7677510435679364,1.5126966262252375,4.995104523911413,0.7491958952366365,12.652793745758785,108,Low
pks2023-07_lc_liner.csv,5,4,0.8262952880710145,8.200295207722471,2.0574679054017997,11.992379545017087,0.7573063973063973,12.59960321509143,109,Low
